Date_quarter,Date,sp500,vix,cpi,pop16,hours,priv_emp,wti,gs2,nfci,epu,gdp,inv,unrate,GPRD,GPRD_ACT,GPRD_THREAT,t10Y2Y,t10Y3M,payems,log_inv_pc,log_gdp_pc,log_gdp,log_gdp_yoy_pct,log_gdp_annualized_pct,gdp_yoy_pct,gdp_annualized_pct,log_private_pc,log_sp500_real,log_oil_real,infl_annualized_pct,infl_yoy_pct,log_payems,log_GPRD,logdiff_GPRD,diff_GPRD,log_GPRD_ACT,logdiff_GPRD_ACT,diff_GPRD_ACT,log_GPRD_THREAT,logdiff_GPRD_THREAT,diff_GPRD_THREAT
1900,1900-01-01,,,,,,,,,,142.515456831708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1900.25,1900-04-01,,,,,,,,,,93.2867975284729,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1900.5,1900-07-01,,,,,,,,,,98.098420650551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1900.75,1900-10-01,,,,,,,,,,87.5954706449338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1901,1901-01-01,,,,,,,,,,103.71760739036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1901.25,1901-04-01,,,,,,,,,,81.258739886163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1901.5,1901-07-01,,,,,,,,,,78.7746958311755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1901.75,1901-10-01,,,,,,,,,,107.386723457281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1902,1902-01-01,,,,,,,,,,71.3087046190194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1902.25,1902-04-01,,,,,,,,,,68.1890088943181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1902.5,1902-07-01,,,,,,,,,,46.7541822384159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1902.75,1902-10-01,,,,,,,,,,87.6204179176971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1903,1903-01-01,,,,,,,,,,66.6326270285348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1903.25,1903-04-01,,,,,,,,,,56.5327895869881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1903.5,1903-07-01,,,,,,,,,,57.905126664615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1903.75,1903-10-01,,,,,,,,,,61.0587118591372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1904,1904-01-01,,,,,,,,,,77.6598080888853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1904.25,1904-04-01,,,,,,,,,,69.0127134123441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1904.5,1904-07-01,,,,,,,,,,79.3115807985635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1904.75,1904-10-01,,,,,,,,,,63.1899107958171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1905,1905-01-01,,,,,,,,,,70.6552130068743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1905.25,1905-04-01,,,,,,,,,,58.2909376455357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1905.5,1905-07-01,,,,,,,,,,60.6934721296636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1905.75,1905-10-01,,,,,,,,,,72.9624900021586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1906,1906-01-01,,,,,,,,,,61.1175436626454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1906.25,1906-04-01,,,,,,,,,,61.2509752697204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1906.5,1906-07-01,,,,,,,,,,51.1361872451893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1906.75,1906-10-01,,,,,,,,,,55.9562389004233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1907,1907-01-01,,,,,,,,,,39.8949565101181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1907.25,1907-04-01,,,,,,,,,,47.4016802818621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1907.5,1907-07-01,,,,,,,,,,55.497769172795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1907.75,1907-10-01,,,,,,,,,,50.9662731534051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1908,1908-01-01,,,,,,,,,,68.870008690121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1908.25,1908-04-01,,,,,,,,,,64.6914417533303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1908.5,1908-07-01,,,,,,,,,,40.9677040561667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1908.75,1908-10-01,,,,,,,,,,67.8779557673957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1909,1909-01-01,,,,,,,,,,105.144284181893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1909.25,1909-04-01,,,,,,,,,,73.6918754557768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1909.5,1909-07-01,,,,,,,,,,68.3659068395348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1909.75,1909-10-01,,,,,,,,,,60.5304110057984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1910,1910-01-01,,,,,,,,,,73.8792985719019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1910.25,1910-04-01,,,,,,,,,,69.7879680645671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1910.5,1910-07-01,,,,,,,,,,59.3263951679529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1910.75,1910-10-01,,,,,,,,,,66.894393116276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1911,1911-01-01,,,,,,,,,,63.5154477630442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1911.25,1911-04-01,,,,,,,,,,75.6903391950945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1911.5,1911-07-01,,,,,,,,,,63.187735132849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1911.75,1911-10-01,,,,,,,,,,72.5854779850922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1912,1912-01-01,,,,,,,,,,63.0358906505291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1912.25,1912-04-01,,,,,,,,,,45.9162383643462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1912.5,1912-07-01,,,,,,,,,,52.2028794840893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1912.75,1912-10-01,,,,,,,,,,70.7026725879438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1913,1913-01-01,,,,,,,,,,76.0406135243558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1913.25,1913-04-01,,,,,,,,,,89.2199129776896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1913.5,1913-07-01,,,,,,,,,,80.800862847652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1913.75,1913-10-01,,,,,,,,,,102.65321182179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1914,1914-01-01,,,,,,,,,,78.8091483556578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1914.25,1914-04-01,,,,,,,,,,86.5888746129922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1914.5,1914-07-01,,,,,,,,,,138.882321933284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1914.75,1914-10-01,,,,,,,,,,88.8066110998772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1915,1915-01-01,,,,,,,,,,109.438119273851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1915.25,1915-04-01,,,,,,,,,,88.6856531291837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1915.5,1915-07-01,,,,,,,,,,104.906196024389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1915.75,1915-10-01,,,,,,,,,,84.5015890008299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1916,1916-01-01,,,,,,,,,,88.084295933521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1916.25,1916-04-01,,,,,,,,,,85.8543772157372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1916.5,1916-07-01,,,,,,,,,,73.5083517401361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1916.75,1916-10-01,,,,,,,,,,71.6622733119578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1917,1917-01-01,,,,,,,,,,64.9588161618441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1917.25,1917-04-01,,,,,,,,,,75.5350645245081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1917.5,1917-07-01,,,,,,,,,,108.792483262049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1917.75,1917-10-01,,,,,,,,,,92.5475166361334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1918,1918-01-01,,,,,,,,,,108.758206074764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1918.25,1918-04-01,,,,,,,,,,101.691795987354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1918.5,1918-07-01,,,,,,,,,,98.1866325475124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1918.75,1918-10-01,,,,,,,,,,146.601801341843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1919,1919-01-01,,,,,,,,,,129.854827033556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1919.25,1919-04-01,,,,,,,,,,92.819363377945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1919.5,1919-07-01,,,,,,,,,,99.1339720154118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1919.75,1919-10-01,,,,,,,,,,97.4879508597095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1920,1920-01-01,,,,,,,,,,61.961905865948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1920.25,1920-04-01,,,,,,,,,,64.9330885150764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1920.5,1920-07-01,,,,,,,,,,66.0772699169903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1920.75,1920-10-01,,,,,,,,,,60.9888807334267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1921,1921-01-01,,,,,,,,,,56.6276198457596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1921.25,1921-04-01,,,,,,,,,,72.4984070146816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1921.5,1921-07-01,,,,,,,,,,93.0872267549807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1921.75,1921-10-01,,,,,,,,,,64.6294711670383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922,1922-01-01,,,,,,,,,,69.0014202151212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922.25,1922-04-01,,,,,,,,,,61.6032844982845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922.5,1922-07-01,,,,,,,,,,66.6724705544468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922.75,1922-10-01,,,,,,,,,,52.1375923082783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1923,1923-01-01,,,,,,,,,,61.6984160406906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1923.25,1923-04-01,,,,,,,,,,62.8144792830636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1923.5,1923-07-01,,,,,,,,,,71.871803732159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1923.75,1923-10-01,,,,,,,,,,65.2135243100132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,1924-01-01,,,,,,,,,,72.6482487016925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924.25,1924-04-01,,,,,,,,,,99.0262013775787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924.5,1924-07-01,,,,,,,,,,72.6975826620956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924.75,1924-10-01,,,,,,,,,,94.3272385785515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1925,1925-01-01,,,,,,,,,,63.7542249216472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1925.25,1925-04-01,,,,,,,,,,60.8907338851362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1925.5,1925-07-01,,,,,,,,,,48.267231121109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1925.75,1925-10-01,,,,,,,,,,63.2565290526041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1926,1926-01-01,,,,,,,,,,50.085045687005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1926.25,1926-04-01,,,,,,,,,,49.4781345004054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1926.5,1926-07-01,,,,,,,,,,64.6740413886609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1926.75,1926-10-01,,,,,,,,,,68.4492117645124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1927,1927-01-01,,,,,,,,,,50.7460224687943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1927.25,1927-04-01,,,,,,,,,,54.0505803987263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1927.5,1927-07-01,,,,,,,,,,57.834547268894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1927.75,1927-10-01,17.6599998474121,,,,,,,,,54.8285861162687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1928,1928-01-01,17.7130645013625,,,,,,,,,52.0050275090373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1928.25,1928-04-01,19.4634920453268,,,,,,,,,47.1534917139835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1928.5,1928-07-01,19.996984118507,,,,,,,,,64.1789187782022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1928.75,1928-10-01,22.5819355441678,,,,,,,,,53.3717167532838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1929,1929-01-01,25.0818333943685,,,,,,,,,77.0850799213562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1929.25,1929-04-01,25.6601563096047,,,,,,,,,76.4409231628089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1929.5,1929-07-01,29.9195312261582,,,,,,,,,67.501887113841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1929.75,1929-10-01,23.6532787573142,,,,,,,,,63.6305232942482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1930,1930-01-01,22.8758065315985,,,,,,,,,69.1065459777681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1930.25,1930-04-01,23.6620635078067,,,,,,,,,65.6230527337787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1930.5,1930-07-01,20.8653124570847,,,,,,,,,57.6714737973388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1930.75,1930-10-01,16.6943548110224,,,,,,,,,66.3055144960709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1931,1931-01-01,16.8708196233531,,,,,,,,,73.2373125372468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1931.25,1931-04-01,14.6384374797344,,,,,,,,,67.1360275303322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1931.5,1931-07-01,13.4046154315655,,,,,,,,,63.3517840719097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1931.75,1931-10-01,9.64112901687622,,,,,,,,,79.0440952608402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1932,1932-01-01,8.26000003345677,,,,,,,,,108.77223305054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1932.25,1932-04-01,5.50031251460314,,,,,,,,,156.880265405199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1932.5,1932-07-01,6.95296877622604,,,,,,,,,84.3526956164067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1932.75,1932-10-01,6.98049182579166,,,,,,,,,143.883753745185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1933,1933-01-01,6.5558182109486,,,,,,,,,116.902075586705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1933.25,1933-04-01,8.80888888192555,,,,,,,,,122.187331399663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1933.5,1933-07-01,10.8277777717227,,,,,,,,,80.5439049503751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1933.75,1933-10-01,9.75836061258785,,,,,,,,,124.029507957818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1934,1934-01-01,10.8421311456649,,,,,,,,,126.786771817739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1934.25,1934-04-01,10.2168749719858,,,,,,,,,148.356901990512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1934.5,1934-07-01,9.14920637342665,,,,,,,,,142.167819969018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1934.75,1934-10-01,9.12327871166292,,,,,,,,,141.715375914083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1935,1935-01-01,8.87180329932541,,,,,,,,,199.272502693924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1935.25,1935-04-01,9.5949205671038,,,,,,,,,178.478400138765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1935.5,1935-07-01,11.1798437833786,,,,,,,,,140.885734626732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1935.75,1935-10-01,12.6288709794321,,,,,,,,,129.20321473982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1936,1936-01-01,14.3907936943902,,,,,,,,,147.787698179464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1936.25,1936-04-01,14.5450000017881,,,,,,,,,141.860807006246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1936.5,1936-07-01,15.7953846711379,,,,,,,,,96.0644103814219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1936.75,1936-10-01,17.0834426567203,,,,,,,,,86.812229506855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1937,1937-01-01,17.920333258311,,,,,,,,,104.438564310822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1937.25,1937-04-01,16.2942187637091,,,,,,,,,115.570476007742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1937.5,1937-07-01,15.9000000059605,,,,,,,,,121.638501277022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1937.75,1937-10-01,11.4582258962816,,,,,,,,,145.363253954299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1938,1938-01-01,10.8560317660135,,,,,,,,,155.817326864042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1938.25,1938-04-01,10.0222222313048,,,,,,,,,136.492846366041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1938.5,1938-07-01,12.1031250357628,,,,,,,,,125.404719577664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1938.75,1938-10-01,12.9403333346049,,,,,,,,,112.496345728472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1939,1939-01-01,12.418548322493,,,,,26104,,,,109.395569134304,,,,,,,,,30101,,,,,,,,,,,,,1031.23136727765,,,,,,,,,
1939.25,1939-04-01,11.1685714116172,,,,,26294.6666666667,,,,119.738463443788,,,,,,,,,30298.3333333333,,,,,,,,,,,,,1031.88479844841,,,,,,,,,
1939.5,1939-07-01,12.0004761711,,,,,26657.3333333333,,,,134.217932666101,,,,,,,,,30704.3333333333,,,,,,,,,,,,,1033.21590745373,,,,,,,,,
1939.75,1939-10-01,12.643934390584,,,,,27363.6666666667,,,,135.724177971635,,,,,,,,,31474.3333333333,,,,,,,,,,,,,1035.69276778569,,,,,,,,,
1940,1940-01-01,12.2286885370974,,,,,27564,,,,133.187567331017,,,,,,,,,31714.3333333333,,,,,,,,,,,,,1036.45240132995,,,,,,,,,
1940.25,1940-04-01,10.8634374588728,,,,,27671.6666666667,,,,150.594402189922,,,,,,,,,31852.3333333333,,,,,,,,,,,,,1036.88659183902,,,,,,,,,
1940.5,1940-07-01,10.2587499916553,,,,,28083,,,,145.9650556668,,,,,,,,,32368,,,,,,,,,,,,,1038.49255594075,,,,,,,,,
1940.75,1940-10-01,10.7332257455395,,,,,29315.3333333333,,,,125.313173804418,,,,,,,,,33703.3333333333,,,,,,,,,,,,,1042.53520234173,,,,,,,,,
1941,1941-01-01,10.140000020304,,,,,30303,,,,128.412789715732,,,,,,,,,34805.3333333333,,,,,,,,,,,,,1045.75259107249,,,,,,,,,
1941.25,1941-04-01,9.60984128618997,,,,,31457.3333333333,,,,103.809622375824,,,,,,,,,36100,,,,,,,,,,,,,1049.4048144321,,,,,,,,,
1941.5,1941-07-01,10.2445312142372,,,,,32684.6666666667,,,,99.0502052868303,,,,,,,,,37505.3333333333,,,,,,,,,,,,,1053.22384240681,,,,,,,,,
1941.75,1941-10-01,9.30688521901115,,,,,33083.3333333333,,,,113.952039591375,,,,,,,,,38025.6666666667,,,,,,,,,,,,,1054.6016649299,,,,,,,,,
1942,1942-01-01,8.5832787654439,,,,,33434,,,,131.835198937568,,,,,,,,,38598,,,,,,,,,,,,,1056.09557406391,,,,,,,,,
1942.25,1942-04-01,8.03437498211861,,,,,34284.6666666667,,,,147.234052457746,,,,,,,,,39717.3333333333,,,,,,,,,,,,,1058.95429792823,,,,,,,,,
1942.5,1942-07-01,8.63630765768198,,,,,35149.3333333333,,,,143.496554883914,,,,,,,,,40906.3333333333,,,,,,,,,,,,,1061.90401792687,,,,,,,,,
1942.75,1942-10-01,9.42983606995129,,,,,35683.3333333333,,,,124.668970124649,,,,,,,,,41701.3333333333,,,,,,,,,,,,,1063.82883816962,,,,,,,,,
1943,1943-01-01,10.6309836653412,,,,,36168.3333333333,,,,115.99787894747,,,,,,,,,42372.3333333333,,,,,,,,,,,,,1065.42509125157,,,,,,,,,
1943.25,1943-04-01,11.8130158772544,,,,,36384,,,,116.81448107424,,,,,,,,,42674.6666666667,,,,,,,,,,,,,1066.13607366577,,,,,,,,,
1943.5,1943-07-01,12.0242187976837,,,,,36387.6666666667,,,,108.741783647138,,,,,,,,,42579.3333333333,,,,,,,,,,,,,1065.9124281522,,,,,,,,,
1943.75,1943-10-01,11.5603225769535,,,,,36540.6666666667,,,,93.2692144179923,,,,,,,,,42747.3333333333,,,,,,,,,,,,,1066.30620942517,,,,,,,,,
1944,1944-01-01,11.9117187708616,,,,,36360.6666666667,,,,85.4246035195391,,,,,,,,,42495.3333333333,,,,,,,,,,,,,1065.7149544962,,,,,,,,,
1944.25,1944-04-01,12.2353968090481,,,,,35871.6666666667,,,,102.01487823382,,,,,,,,,41998.3333333333,,,,,,,,,,,,,1064.53852139385,,,,,,,,,
1944.5,1944-07-01,12.8088888440813,,,,,35607.6666666667,,,,91.5787662738708,,,,,,,,,41811,,,,,,,,,,,,,1064.09147417876,,,,,,,,,
1944.75,1944-10-01,12.9334426473399,,,,,35472.6666666667,,,,103.171222110329,,,,,,,,,41759.6666666667,,,,,,,,,,,,,1063.96862404046,,,,,,,,,
1945,1945-01-01,13.7768852202619,,,,,35627,,,,81.9963884138919,,,,,,,,,41863.3333333333,,,,,,,,,,,,,1064.21656233441,,,,,,,,,
1945.25,1945-04-01,14.7234375625849,,,,,35124.6666666667,,,,91.4858375593507,,,,,,,,,41299.6666666667,,,,,,,,,,,,,1062.86097078915,,,,,,,,,
1945.5,1945-07-01,15.1250819690892,,,,,33861.6666666667,,,,131.50040367242,,,,,,,,,39949,,,,,,,,,,,,,1059.5358919592,,,,,,,,,
1945.75,1945-10-01,16.9281667391459,,,,,33070.3333333333,,,,111.529546301221,,,,,,,,,38902,,,,,,,,,,,,,1056.88009421666,,,,,,,,,
1946,1946-01-01,17.8457377386875,,,,,33982.3333333333,1.17,,,96.3846106770551,,,,,,,,,39756,,,,,,,,,,,,,1059.05160520879,,,,,,,,,
1946.25,1946-04-01,18.6501587459019,,,,,35608,1.27,,,89.0677400468172,,,,,,,,,41332.3333333333,,,,,,,,,,,,,1062.9400362078,,,,,,,,,
1946.5,1946-07-01,16.9996875077486,,,,,36892.6666666667,1.43666666666667,,,100.349058792061,,,,,,,,,42570,,,,,,,,,,,,,1065.89050588222,,,,,,,,,
1946.75,1946-10-01,14.8508064362311,,,,,37645.3333333333,1.55333333333333,,,86.4285447981427,,,,,,,,,43289,,,,,,,,,,,,,1067.56538401461,,,,,,,,,
1947,1947-01-01,15.3687096411182,,21.7,,41.782,37962,1.62,,,98.0432264765004,2182.681,227.242,,,,,,,43566.3333333333,,,768.830921669201,,,,,,-34.4978659602912,-259.488611130212,,,1068.20399598055,,,,,,,,,
1947.25,1947-04-01,14.5892063473898,,22.01,,41.793,38104.6666666667,1.87,,,113.079576515297,2176.892,209.836,,,,,,,43649,,,768.565345044952,,-1.06230649699519,,-1.06230649699519,,-41.1214931509304,-246.555846467188,5.67385399678262,,1068.39356514979,,,,,,,,,
1947.5,1947-07-01,15.43453130126,,22.49,,41.907,38441.3333333333,1.87,,,83.5020434998464,2172.432,203.662,,,,,,,43968.6666666667,,,768.360255630446,,-0.820357658025372,,-0.820357658025372,,-37.6463474447707,-248.713233510473,8.62954817314154,,1069.12325380095,,,,,,,,,
1947.75,1947-10-01,15.2490163396616,,23.1266666666667,,42.313,38906.6666666667,2.00333333333333,,,84.3378240586379,2206.452,243.072,,,,,,,44492,,,769.914107456408,,6.21540730384815,,6.21540730384815,,-41.6471354217706,-244.617389299449,11.1662347609078,,1070.30646767119,,,,,,,,,
