Date_quarter,Date,sp500,vix,cpi,pop16,hours,priv_emp,wti,gs2,nfci,epu,gdp,inv,unrate,GPRD,GPRD_ACT,GPRD_THREAT,t10Y2Y,t10Y3M,payems
1990,1990-01-01,336.574763222346,22.1746031746032,128.033333333333,188519.666666667,80.657,91216.6666666667,21.7223333333333,8.36333333333333,0.0505461538461538,102.409722997016,10047.386,1304.586,5.3,78.3434444444445,70.9834444444445,77.6482222222222,0.0590322580645161,0.39741935483871,109424
1990.25,1990-04-01,349.796507820251,18.7220634920635,129.3,188916.333333333,80.31,91273.3333333333,17.8966666666667,8.57,-0.000443846153846158,95.5668159299197,10083.855,1304.993,5.33333333333333,85.2016483516483,69.5865934065934,92.2897802197802,0.103015873015873,0.663333333333333,109784
1990.5,1990-07-01,335.881745353578,25.1955555555556,131.533333333333,189352.666666667,79.893,91163.3333333333,26.4996666666667,8.1,0.0801746153846154,130.513768077186,10090.569,1279.695,5.7,176.641304347826,107.521847826087,234.382934782609,0.602539682539683,0.975873015873016,109648
1990.75,1990-10-01,316.562033176422,26.11328125,133.766666666667,189866.333333333,79.553,90802,31.853,7.59666666666667,0.458306923076923,141.394794537672,9998.704,1208.107,6.13333333333333,152.322173913043,108.545217391304,189.914782608696,0.800161290322581,1.18661290322581,109255.666666667
1991,1991-01-01,352.282950979764,22.5158333333333,134.766666666667,190271.666666667,78.776,90305.6666666667,21.7806666666667,7.03333333333333,0.177106153846154,139.48869745992,9951.916,1167.908,6.6,270.630555555555,347.779,238.731,0.987166666666667,1.8115,108787
1991.25,1991-04-01,378.665936946869,17.14703125,135.566666666667,190655.666666667,78.282,89796.3333333333,20.7526666666667,6.89666666666667,-0.239215384615385,87.0271671356354,10029.51,1167.904,6.83333333333333,91.1567032967034,80.1686813186813,97.302967032967,1.23140625,2.38921875,108311
1991.5,1991-07-01,385.559842586517,16.63421875,136.6,191121.333333333,78.19,89738.6666666667,21.655,6.51,-0.477993076923077,102.355178370983,10080.195,1191.028,6.86666666666667,112.848260869565,81.7957608695652,140.502717391304,1.42890625,2.4040625,108308
1991.75,1991-10-01,387.116094112396,17.4553125,137.733333333333,191650.666666667,78.055,89710,21.7366666666667,5.5,-0.616255384615385,139.914768249133,10115.329,1233.261,7.1,100.551195652174,70.5604347826087,125.295543478261,1.84129032258065,2.66532258064516,108330.333333333
1992,1992-01-01,411.971903967479,17.5642857142857,138.666666666667,192074.666666667,77.596,89651,18.9103333333333,5.28666666666667,-0.66879,122.596737893061,10236.435,1210.478,7.36666666666667,90.3101098901099,62.2634065934066,108.557142857143,2.01306451612903,3.30483870967742,108348.333333333
1992.25,1992-04-01,410.06158883231,15.6163492063492,139.733333333333,192506.666666667,77.912,89872.3333333333,21.186,5.20666666666667,-0.823414615384615,96.9427325980399,10347.429,1278.935,7.6,85.6317582417582,61.3121978021978,101.377912087912,2.17285714285714,3.60793650793651,108623.666666667
1992.5,1992-07-01,417.119062423706,13.90203125,140.8,193024.333333333,78.031,90043.6666666667,21.6703333333333,4.14666666666667,-0.908939230769231,127.821180833354,10449.673,1289.101,7.63333333333333,77.6035869565218,56.9551086956522,91.1670652173913,2.46796875,3.46765625,108886.666666667
1992.75,1992-10-01,423.687655925751,14.76109375,142.033333333333,193615.666666667,78.546,90458.6666666667,20.479,4.44333333333333,-0.75417,119.092133728202,10558.648,1328.433,7.36666666666667,81.6132608695653,63.5557608695652,93.7995652173913,2.29564516129032,3.59661290322581,109307.666666667
