C_Date_quarter;C_epu;C_gs2;C_wti;C_vix;C_cpi;C_inv;C_privemp;C_gdp;C_pop16;C_sp500;C_NFCI;C_GPRD;C_GPRD_THREAT;C_GPRD_ACT;Date_quarter;sp500;vix;cpi;pop16;priv_emp;wti;gs2;nfci;epu;gdp;inv;GPRD;GPRD_ACT;GPRD_THREAT
1990 - Q3;137,14339;8,1;26,5;25,18;131,567;157,24;1216;9404,5;189353;335,4;0,00267;175;232,8;105,7;1990,5;335,8817454;18,72206349;131,5333333;189352,6667;91163,33333;26,49966667;8,1;0,080174615;130,5137681;10090,569;1279,695;78,34344444;70,98344444;77,64822222
1990 - Q4;140,29853;7,6;31,853;25,94;133,7;156,287;1184,7;9318,9;189866;317,05;0,38672;151,9;189,6;107,9;1990,75;316,5620332;25,19555556;133,7666667;189866,3333;90802;31,853;7,596666667;0,458306923;141,3947945;9998,704;1208,107;85,20164835;69,58659341;92,28978022
1991 - Q1;135,63258;7,03;21,781;22,69;134,8;155,11;1152;9275,3;190272;353,34;0,16146;289,1;249,3;380,5;1991;352,282951;26,11328125;134,7666667;190271,6667;90305,66667;21,78066667;7,033333333;0,177106154;139,4886975;9951,916;1167,908;176,6413043;107,5218478;234,3829348
1991 - Q2;99,64599;6,9;20,753;17,9;135,6;153,996;1155,5;9347,6;190656;378,65;-0,25454;91,4;98,7;79;1991,25;378,6659369;22,51583333;135,5666667;190655,6667;89796,33333;20,75266667;6,896666667;-0,239215385;87,02716714;10029,51;1167,904;152,3221739;108,5452174;189,9147826
1991 - Q3;103,72498;6,51;21,655;16,88;136,667;154,089;1156,9;9394,8;191121;385,61;-0,48855;115,5;144,1;82,3;1991,5;385,5598426;17,14703125;136,6;191121,3333;89738,66667;21,655;6,51;-0,477993077;102,3551784;10080,195;1191,028;270,6305556;347,779;238,731
1991 - Q4;122,59656;5,5;21,737;17,52;137,7;154,091;1161,9;9427,6;191651;387,1;-0,58585;101,8;126,1;71,4;1991,75;387,1160941;16,63421875;137,7333333;191650,6667;89710;21,73666667;5,5;-0,616255385;139,9147682;10115,329;1233,261;91,1567033;80,16868132;97,30296703
1992 - Q1;108,81448;5,29;18,91;16,92;138,667;153,846;1174,6;9540,4;192075;412;-0,64467;91,8;111,5;62;1992;411,971904;17,4553125;138,6666667;192074,6667;89651;18,91033333;5,286666667;-0,66879;122,5967379;10236,435;1210,478;112,8482609;81,79576087;140,5027174
1992 - Q2;102,26881;5,21;21,186;15,22;139,8;154,665;1213,2;9643,9;192507;410,16;-0,79648;86,2;103,4;60,2;1992,25;410,0615888;17,56428571;139,7333333;192506,6667;89872,33333;21,186;5,206666667;-0,823414615;96,9427326;10347,429;1278,935;100,5511957;70,56043478;125,2955435
1992 - Q3;121,28069;4,15;21,67;13,99;140,9;154,354;1227,1;9739,2;193024;417,15;-0,85280;77,2;90,9;55,8;1992,5;417,1190624;15,61634921;140,8;193024,3333;90043,66667;21,67033333;4,146666667;-0,908939231;127,8211808;10449,673;1289,101;90,31010989;62,26340659;108,5571429
1992 - Q4;121,38885;4,44;20,479;14,95;141,9;155,696;1263;9840,8;193616;423,66;-0,71330;80,9;92,8;62,8;1992,75;423,6876559;13,90203125;142,0333333;193615,6667;90458,66667;20,479;4,443333333;-0,75417;119,0921337;10558,648;1328,433;85,63175824;61,3121978;101,3779121
1993 - Q1;114,68358;4,15;19,825;13,3;143,1;156,724;1272,4;9857,2;194106;442,36;-0,89594;104,5;116,7;86,6;1993;442,7503209;14,76109375;143,0666667;194106;91044;19,825;4,146666667;-0,959569231;100,0793042;10576,275;1359,751;77,60358696;56,9551087;91,16706522
1993 - Q2;122,96509;3,99;19,76;13,31;144,2;158,102;1295,3;9914,6;194555;445,46;-0,94011;109,2;135,6;74,6;1993,25;445,5058725;13,25532258;144,1;194555,3333;91585;19,76;3,993333333;-0,998811538;114,612319;10637,847;1367,575;81,61326087;63,55576087;93,79956522
