month;GPR;GPRT;GPRA;GPRH;GPRHT;GPRHA
1900-01-01;;;;87,9278;64,7175;110,4535
1900-02-01;;;;86,5665;71,9368;96,2505
1900-03-01;;;;72,1407;57,4759;84,4994
1900-04-01;;;;54,4194;37,3266;65,8582
1900-05-01;;;;64,4052;48,2000;74,3740
1900-06-01;;;;83,6103;70,0066;93,9777
1900-07-01;;;;108,5711;87,0624;125,7091
1900-08-01;;;;108,5028;63,8416;149,7610
1900-09-01;;;;62,8133;54,6984;67,5818
1900-10-01;;;;43,3669;31,7176;51,4328
1900-11-01;;;;47,3436;38,1885;50,5342
1900-12-01;;;;49,3197;49,9251;42,5793
1901-01-01;;;;42,4790;40,7912;41,7433
1901-02-01;;;;50,1439;39,0579;55,6581
1901-03-01;;;;47,9376;53,7734;45,1070
1901-04-01;;;;37,9458;33,6575;38,0614
1901-05-01;;;;37,3797;29,3001;41,7381
1901-06-01;;;;31,6567;19,2282;38,6755
1901-07-01;;;;37,2578;24,3427;45,3882
1901-08-01;;;;58,1580;46,7184;67,2506
1901-09-01;;;;41,0900;35,2241;48,4759
1901-10-01;;;;36,3207;25,9038;43,8187
1901-11-01;;;;45,1156;41,0772;48,1561
1901-12-01;;;;51,4355;56,6668;45,0583
1902-01-01;;;;36,9608;26,9639;46,2223
1902-02-01;;;;45,6911;31,6411;55,1569
1902-03-01;;;;38,8590;29,5757;45,2250
1902-04-01;;;;43,8005;39,7867;46,3312
1902-05-01;;;;38,2560;29,0896;44,0369
1902-06-01;;;;38,8264;30,5399;42,3553
1902-07-01;;;;40,5738;32,3120;45,1127
1902-08-01;;;;55,6609;41,8926;63,8419
1902-09-01;;;;51,4282;37,7725;63,0728
1902-10-01;;;;52,1516;45,9646;56,4448
1902-11-01;;;;26,3432;23,3507;28,1186
1902-12-01;;;;53,2072;70,2427;37,5935
1903-01-01;;;;52,4105;75,1135;29,0523
1903-02-01;;;;55,7363;74,6974;39,3700
1903-03-01;;;;31,1350;38,6644;20,5374
1903-04-01;;;;33,4848;27,0529;38,2944
1903-05-01;;;;40,7547;39,5117;37,5693
1903-06-01;;;;33,4585;32,8110;32,1558
1903-07-01;;;;35,4643;33,2492;36,7450
1903-08-01;;;;63,4993;58,3225;67,3823
1903-09-01;;;;65,8399;76,5983;62,4685
1903-10-01;;;;49,2012;62,8437;37,5122
1903-11-01;;;;67,4541;71,2752;62,6967
1903-12-01;;;;65,4569;69,5772;61,0295
1904-01-01;;;;91,9773;109,6315;82,1674
1904-02-01;;;;140,3684;137,7571;149,3686
1904-03-01;;;;93,3381;77,6785;111,6779
1904-04-01;;;;59,1585;51,2528;66,4296
1904-05-01;;;;84,3866;57,1896;109,3128
1904-06-01;;;;66,1335;52,1205;75,1447
1904-07-01;;;;72,7748;61,8774;79,6179
1904-08-01;;;;84,4542;63,6832;105,4737
1904-09-01;;;;70,8174;56,6425;81,1018
1904-10-01;;;;61,0293;57,9605;57,6088
1904-11-01;;;;49,9092;47,0304;50,6174
1904-12-01;;;;45,9603;41,5880;46,7216
1905-01-01;;;;64,6216;59,8214;69,7184
1905-02-01;;;;59,1570;50,1837;65,7748
1905-03-01;;;;67,7549;67,7285;71,1233
1905-04-01;;;;41,5051;40,2392;41,1784
1905-05-01;;;;54,1503;54,5987;51,6343
1905-06-01;;;;69,7536;69,2960;70,4714
1905-07-01;;;;60,9829;61,9006;59,7047
1905-08-01;;;;53,2270;50,3651;54,5415
1905-09-01;;;;49,3908;59,8556;40,0103
1905-10-01;;;;41,1169;39,4832;41,1013
1905-11-01;;;;41,3156;42,1637;42,5526
1905-12-01;;;;45,7112;45,1085;43,5642
1906-01-01;;;;36,6405;39,4701;31,8673
1906-02-01;;;;38,8486;48,5443;31,4840
1906-03-01;;;;33,2143;31,8312;32,6002
1906-04-01;;;;31,3015;29,9422;31,1836
1906-05-01;;;;40,3677;46,6308;34,3789
1906-06-01;;;;42,0901;33,3471;47,5031
1906-07-01;;;;48,3693;44,4685;52,6675
1906-08-01;;;;50,4254;41,5328;55,5702
1906-09-01;;;;67,0024;60,2887;69,3365
1906-10-01;;;;39,7903;32,7318;45,0460
1906-11-01;;;;31,1099;26,1926;32,7696
1906-12-01;;;;29,6371;22,9866;33,0404
1907-01-01;;;;31,9049;27,7320;32,6198
1907-02-01;;;;43,5005;34,0486;53,2479
1907-03-01;;;;34,8959;25,1320;43,7511
1907-04-01;;;;29,9741;26,6091;31,4802
1907-05-01;;;;31,9701;32,7364;33,8691
1907-06-01;;;;47,5470;42,7074;52,8660
1907-07-01;;;;49,2553;44,2418;56,6983
1907-08-01;;;;40,4655;27,9736;48,2004
1907-09-01;;;;26,4075;18,9385;32,8206
1907-10-01;;;;25,9823;24,1256;26,0407
1907-11-01;;;;22,8875;17,0119;25,7872
1907-12-01;;;;28,1749;25,2669;28,8206
1908-01-01;;;;42,2437;47,3104;36,9277
1908-02-01;;;;25,9475;28,2054;24,4790
1908-03-01;;;;30,9531;32,7372;26,9069
1908-04-01;;;;26,9427;33,1111;22,2777
