term,variable,post_mean,post_sd,q05,q16,median,q84,q95,prob_direction,inclusion_prob,signif
(Intercept),Intercept,14.720670720483,0.880672144042924,13.7459239415819,14.0811731988549,14.5993934544658,15.1598313983845,16.1831876142143,1,1,***
nfci_lag4,NFCI (lag 4),-0.492630493060855,0.0640034151709527,-0.590035226669116,-0.554650973536317,-0.496102882594506,-0.431608433549858,-0.382413308156531,1,1,***
log_inv_pc_lag4,"Investment (p.c., log) (lag 4)",0.0351158458082386,0.004025114228355,0.0273709119295921,0.0340905269934987,0.0356784182685523,0.0371035875207898,0.0390573493057679,0.997,0.996972752476345,***
log_oil_real_lag4,Real Oil Price (log) (lag 4),-0.00676443205243213,0.00114814762998015,-0.00823966540403367,-0.00776632132465178,-0.00693275235795782,-0.00577660948819539,-0.00472390036927161,1,0.994862966196975,***
gs2_lag0,2-Year Treasury Yield (lag 0),0.124235404889239,0.0294293483431551,0.0928070307128087,0.104730212013342,0.121209354584295,0.148591236828686,0.175618786360044,0.9821,0.9820527708746,**
nfci_lag0,NFCI (lag 0),-0.242894357384919,0.161149477090089,-0.42366777720663,-0.384627805259562,-0.312473572230605,0,0,0.9999,0.718331695338649,***
nfci_lag1,NFCI (lag 1),-0.1110828648648,0.172039067172372,-0.434628987483355,-0.365765662182727,0,0,0,0.9995,0.314712004595743,***
log_oil_real_lag0,Real Oil Price (log) (lag 0),-0.00023972850823655,0.000701466536833255,-0.00215944851102677,0,0,0,0,0.9988,0.122793684127643,***
gs2_lag4,2-Year Treasury Yield (lag 4),-0.00566534298417263,0.0172679094551881,-0.0515338923500199,0,0,0,0,0.9993,0.117157907044078,***
gs2_lag3,2-Year Treasury Yield (lag 3),-0.00639518684501734,0.0203757282660666,-0.058998264238423,0,0,0,0,0.999,0.109378421422882,***
log_oil_real_lag1,Real Oil Price (log) (lag 1),-0.000222012200227177,0.000744558817334011,-0.0022920078712391,0,0,0,0,0.9987,0.096467333288213,***
log_inv_pc_lag2,"Investment (p.c., log) (lag 2)",0.000511752403601587,0.0025117718848123,0,0,0,0,0.000132274711283806,0.9498,0.0510208105422756,""
vix_lag0,VIX (lag 0),-0.000371665676460382,0.001984814379651,0,0,0,0,0,0.9984,0.0433121968676335,***
nfci_lag2,NFCI (lag 2),-0.00451302049538377,0.0283061516815281,0,0,0,0,0,0.9991,0.0321371213400647,***
gs2_lag1,2-Year Treasury Yield (lag 1),0.00292286068429252,0.0264386946954154,0,0,0,0,0,0.9802,0.0279113121273359,**
nfci_lag3,NFCI (lag 3),-0.0044093584110914,0.032640177941055,0,0,0,0,0,0.9993,0.0248478144607715,***
vix_lag2,VIX (lag 2),-0.000167679357640879,0.00120487796875387,0,0,0,0,0,0.9993,0.0243307345279344,***
log_inv_pc_lag1,"Investment (p.c., log) (lag 1)",0.000168069333916501,0.00126839330550313,0,0,0,0,0,0.9777,0.0234305077559703,**
gs2_lag2,2-Year Treasury Yield (lag 2),-0.0008644864692514,0.00735006172505196,0,0,0,0,0,0.9977,0.0207474149015338,***
log_sp500_real_lag4,Real S&P 500 (log) (lag 4),-5.33115221790327e-05,0.000431976009566869,0,0,0,0,0,0.999,0.0204031605028894,***
vix_lag3,VIX (lag 3),-0.00012042503338266,0.000999668509262892,0,0,0,0,0,0.9991,0.0203055166080694,***
log_sp500_real_lag0,Real S&P 500 (log) (lag 0),-3.98150279635627e-05,0.000340032113615137,0,0,0,0,0,0.9982,0.0197744660957419,***
log_oil_real_lag2,Real Oil Price (log) (lag 2),-2.459072004933e-05,0.000233578687563449,0,0,0,0,0,0.9983,0.0165703949022215,***
log_oil_real_lag3,Real Oil Price (log) (lag 3),-5.22862531360986e-05,0.000531253004375591,0,0,0,0,0,0.9986,0.0161331734529187,***
log_sp500_real_lag1,Real S&P 500 (log) (lag 1),-2.82347607277026e-05,0.00030836508791583,0,0,0,0,0,0.9981,0.0154901663675765,***
vix_lag1,VIX (lag 1),-9.07988614720035e-05,0.000887200884453427,0,0,0,0,0,0.9986,0.0154108003850921,***
log_inv_pc_lag0,"Investment (p.c., log) (lag 0)",7.62092014361537e-05,0.00076111910813311,0,0,0,0,0,0.9863,0.0148939922658285,**
log_inv_pc_lag3,"Investment (p.c., log) (lag 3)",0.000206833586759119,0.00230469097341083,0,0,0,0,0,0.9867,0.0143801688058313,**
log_sp500_real_lag3,Real S&P 500 (log) (lag 3),-2.47542987696695e-05,0.000276274783188593,0,0,0,0,0,0.9987,0.0134151499874212,***
log_private_pc_lag4,"Private Employment (p.c., log) (lag 4)",-9.12394939506112e-05,0.00118124737435093,0,0,0,0,0,0.9987,0.0109793053470989,***
log_sp500_real_lag2,Real S&P 500 (log) (lag 2),-1.54371905924466e-05,0.000210338894374667,0,0,0,0,0,0.998,0.0108601293267875,***
log_private_pc_lag3,"Private Employment (p.c., log) (lag 3)",-8.01516654316324e-05,0.00109563171565245,0,0,0,0,0,0.9989,0.00858248162712426,***
log_private_pc_lag2,"Private Employment (p.c., log) (lag 2)",-3.0214004387007e-05,0.000805911288758977,0,0,0,0,0,0.9982,0.00625888901099369,***
log_private_pc_lag0,"Private Employment (p.c., log) (lag 0)",-2.9435005692864e-05,0.000794212841167377,0,0,0,0,0,0.9982,0.00588023893717753,***
vix_lag4,VIX (lag 4),1.15773490456874e-05,0.000393293943802407,0,0,0,0,0,0.9965,0.00547571221095906,***
log_private_pc_lag1,"Private Employment (p.c., log) (lag 1)",-4.49177176473836e-06,0.000741050273835958,0,0,0,0,0,0.9975,0.00546030045444785,***
