term,variable,post_mean,post_sd,q05,q16,median,q84,q95,prob_direction,inclusion_prob,signif
(Intercept),Intercept,-3.67807304729976,0.25691954431543,-4.09798844781121,-3.92617726292209,-3.68567219860951,-3.42241242110141,-3.24269639300686,1,1,***
gs2_lag0,2-Year Treasury Yield (lag 0),0.168685972729057,0.0359441204071066,0.131306235188361,0.145307741147787,0.165509714900879,0.191559736392222,0.230729739110743,0.9881,0.988565263780949,**
nfci_lag4,NFCI (lag 4),-0.533246179241694,0.171219789395937,-0.817032346095356,-0.682534792726463,-0.535258371379704,-0.403065026673912,-0.266106142337465,0.9995,0.971868278362847,***
log_sp500_real_lag4,Real S&P 500 (log) (lag 4),0.0120858701379775,0.00648059729819913,0,0,0.015535644895097,0.0168727771954222,0.0175688041797788,0.8193,0.820104386314904,""
nfci_lag0,NFCI (lag 0),-0.187327565470524,0.185963784694977,-0.471139151036254,-0.399345565133471,-0.202953229682665,0,0,0.9962,0.555190965474127,***
nfci_lag1,NFCI (lag 1),-0.151328825113337,0.201879853326636,-0.516404596523329,-0.418677761248095,0,0,0,0.9963,0.406327400028394,***
vix_lag4,VIX (lag 4),0.00419761736580544,0.00831365078319857,0,0,0,0.0134634423657111,0.0233916760100098,0.7488,0.256992640939028,""
vix_lag0,VIX (lag 0),-0.00294530727637863,0.00655159458986918,-0.0188545459762941,-0.00912965387060964,0,0,0,0.9937,0.213639149774677,***
log_sp500_real_lag3,Real S&P 500 (log) (lag 3),0.00263537798143731,0.00611830941971665,0,0,0,0.0104917675106908,0.0165784278136686,0.8087,0.202800446281624,""
nfci_lag2,NFCI (lag 2),-0.0364615965229289,0.108360162960011,-0.323639966437436,0,0,0,0,0.9911,0.137675655400595,***
vix_lag1,VIX (lag 1),-0.00136179347617516,0.00463202900129235,-0.0130975302899211,0,0,0,0,0.991,0.118904175214911,***
log_sp500_real_lag0,Real S&P 500 (log) (lag 0),0.000567941386822701,0.00194336470745909,0,0,0,0,0.00544223787113048,0.8935,0.114433122436961,""
vix_lag2,VIX (lag 2),-0.00112623437783346,0.00401322279953545,-0.011541596385509,0,0,0,0,0.9921,0.107611441924499,***
nfci_lag3,NFCI (lag 3),-0.0345290474405195,0.122991749242434,-0.325680881972885,0,0,0,0,0.9929,0.106120991462326,***
log_sp500_real_lag1,Real S&P 500 (log) (lag 1),0.000412350766028342,0.00182503956521655,0,0,0,0,0.00438474065450887,0.9227,0.0870943383340725,""
log_sp500_real_lag2,Real S&P 500 (log) (lag 2),0.000634138790369734,0.00281581788867254,0,0,0,0,0.00587633926855571,0.9226,0.0868740397658368,""
gs2_lag3,2-Year Treasury Yield (lag 3),-0.00420579350482785,0.0191018613546188,-0.0393758620381074,0,0,0,0,0.9936,0.0800086348837491,***
vix_lag3,VIX (lag 3),-0.000753365542292589,0.00364528522625128,-0.00640483395749471,0,0,0,0,0.9886,0.0781268754797714,**
gs2_lag4,2-Year Treasury Yield (lag 4),-0.00282245685368163,0.01378487493219,-0.0231002371411887,0,0,0,0,0.9941,0.0702533419563499,***
gs2_lag1,2-Year Treasury Yield (lag 1),0.000444241832291588,0.0272220580466418,0,0,0,0,0,0.9786,0.0477687659214089,**
gs2_lag2,2-Year Treasury Yield (lag 2),-0.00129395613270536,0.0141212425746903,0,0,0,0,0,0.989,0.0431450140167733,**
