term,variable,post_mean,post_sd,q05,q16,median,q84,q95,prob_direction,inclusion_prob,signif
(Intercept),Intercept,16.7366698566748,2.45984454000454,12.1303054594385,14.3083834268347,17.1064445986019,19.0158646832902,20.2034933648622,1,1,***
log_gdp_pc_lag0,"Real GDP (p.c., log) (lag 0)",0.148431622918328,0.0411442740888875,0.0719167926149598,0.110544631167933,0.153192680721122,0.186367831880929,0.207843323475304,0.9929,0.993303766509064,***
gs2_lag0,2-Year Treasury Yield (lag 0),0.210778155088385,0.0828198876662291,0.0431635115026646,0.142077271418806,0.216539047834068,0.280662319775344,0.330327105109285,0.9547,0.956610253970873,*
log_gdp_pc_lag4,"Real GDP (p.c., log) (lag 4)",-0.0879345511138393,0.0451891159604138,-0.153663756296759,-0.129880225813773,-0.0934486837959509,-0.0443126218190266,0,0.9985,0.88774631563605,***
infl_yoy_pct_lag4,Inflation YoY (%) (lag 4),-0.0293206561304717,0.050734949558913,-0.138800048967861,-0.0911843185771803,0,0,0,0.9908,0.322226689650486,***
t10Y3M_lag0,10Y-3M Term Spread (lag 0),-0.0378987946234617,0.0774500093145555,-0.220129131312616,-0.117734727460749,0,0,0,0.9896,0.261045872799751,**
infl_yoy_pct_lag0,Inflation YoY (%) (lag 0),-0.00710407242900449,0.0247281348101867,-0.0671956139447779,0,0,0,0,0.9886,0.121612223876891,**
t10Y3M_lag1,10Y-3M Term Spread (lag 1),-0.00972892447909461,0.041229868222983,-0.102535390249965,0,0,0,0,0.9821,0.114382571634278,**
infl_yoy_pct_lag3,Inflation YoY (%) (lag 3),-0.00569425041388083,0.0244289347906214,-0.0623742889423245,0,0,0,0,0.9821,0.112645526444095,**
gs2_lag1,2-Year Treasury Yield (lag 1),-4.71292075317879e-05,0.0530254864949767,0,0,0,0,0.00251478364247126,0.9498,0.0970528986102439,""
log_gdp_pc_lag3,"Real GDP (p.c., log) (lag 3)",-0.00220363012439642,0.0192108864539939,-0.0179678189572771,0,0,0,0,0.9715,0.0870732496871242,*
log_gdp_pc_lag1,"Real GDP (p.c., log) (lag 1)",0.00383239024060052,0.0217391576170856,0,0,0,0,0.0232029117774583,0.9389,0.0769216278229542,""
infl_yoy_pct_lag2,Inflation YoY (%) (lag 2),-0.00289830852305508,0.0176374321851978,-0.0213579579506399,0,0,0,0,0.9828,0.0769048582479,**
infl_yoy_pct_lag1,Inflation YoY (%) (lag 1),-0.00190516455419881,0.0154466247677591,-0.00440208098593569,0,0,0,0,0.9833,0.0688349825370369,**
gs2_lag2,2-Year Treasury Yield (lag 2),-0.00411222925614351,0.0291536404547507,-0.00511535217450498,0,0,0,0,0.9821,0.0681114722879671,**
log_gdp_pc_lag2,"Real GDP (p.c., log) (lag 2)",0.00209986152020273,0.0160627084269182,0,0,0,0,0,0.9506,0.06790278176068,*
t10Y3M_lag2,10Y-3M Term Spread (lag 2),-0.00266459525636938,0.0252304109412385,0,0,0,0,0,0.9787,0.0674644028484738,**
gs2_lag3,2-Year Treasury Yield (lag 3),-0.00229210478325816,0.0202749311059018,0,0,0,0,0,0.9836,0.0585462552935329,**
t10Y3M_lag3,10Y-3M Term Spread (lag 3),-0.00104446597876777,0.0184848090140111,0,0,0,0,0,0.9781,0.0551942406270583,**
gs2_lag4,2-Year Treasury Yield (lag 4),-0.000146819559073571,0.0144601716163947,0,0,0,0,0,0.976,0.0506472335259363,**
t10Y3M_lag4,10Y-3M Term Spread (lag 4),1.34009141387446e-05,0.0156080238548555,0,0,0,0,0,0.9746,0.0501044158250495,*
