term,variable,post_mean,post_sd,q05,q16,median,q84,q95,prob_direction,inclusion_prob,signif
(Intercept),Intercept,12.8266173577774,0.635686339438344,11.7989494393235,12.1996932664892,12.8207527984993,13.4453225865159,13.8679567995805,1,1,***
log_inv_pc_lag0,"Investment (p.c., log) (lag 0)",0.0386507721785373,0.0103960962160362,0.0231083051917292,0.0290201457236728,0.0381181775546403,0.0485092923045607,0.0576203445377656,0.9961,0.996067260092059,***
log_inv_pc_lag2,"Investment (p.c., log) (lag 2)",0.0164140661512537,0.0138836377567309,0,0,0.0193532819385664,0.0311283707262026,0.0370517262559299,0.6411,0.641879791852132,""
log_oil_real_lag4,Real Oil Price (log) (lag 4),-0.0035927275458478,0.00302272055417571,-0.00782053624935255,-0.00669651718182113,-0.0045107523244318,0,0,0.9984,0.631726147316339,***
infl_yoy_pct_lag4,Inflation YoY (%) (lag 4),0.0585871273985969,0.0590845889084769,0,0,0.064671211861064,0.125208369282739,0.142354665218369,0.5202,0.521073198518406,""
log_oil_real_lag0,Real Oil Price (log) (lag 0),-0.00135816401235429,0.00186511584192151,-0.00486058848310501,-0.00376670368366412,0,0,0,0.9977,0.390093484461189,***
log_oil_real_lag1,Real Oil Price (log) (lag 1),-0.00160822741754989,0.00263925257011544,-0.0078612900273745,-0.00439835239268718,0,0,0,0.9982,0.333489524843314,***
log_gdp_pc_lag4,"Real GDP (p.c., log) (lag 4)",-0.015280275013349,0.0230355197833683,-0.0570690903189173,-0.0475666352764825,0,0,0,0.9982,0.324401478602276,***
log_gdp_pc_lag0,"Real GDP (p.c., log) (lag 0)",-0.0165343084273614,0.0264346091731252,-0.0649455345157602,-0.0535323681991027,0,0,0,0.9975,0.304417090842782,***
infl_yoy_pct_lag3,Inflation YoY (%) (lag 3),0.0301589328852779,0.050771110630203,0,0,0,0.10640973554733,0.131110495683797,0.7253,0.275833980525132,""
log_oil_real_lag2,Real Oil Price (log) (lag 2),-0.00163269168536895,0.00314040280485038,-0.00897888719669732,-0.00561846604139697,0,0,0,0.9996,0.243080763575524,***
log_inv_pc_lag3,"Investment (p.c., log) (lag 3)",0.00381694561835414,0.00849117216725011,0,0,0,0.0127058811334255,0.0245902810365654,0.8079,0.195036957210429,""
log_gdp_pc_lag2,"Real GDP (p.c., log) (lag 2)",-0.00900795600491414,0.0209711072649483,-0.0581862858377124,-0.039178519920875,0,0,0,0.9932,0.182786210999244,***
log_oil_real_lag3,Real Oil Price (log) (lag 3),-0.000991293097937978,0.00242087673581039,-0.00737610145691066,-0.000706512343980259,0,0,0,0.9975,0.162851000957696,***
log_gdp_pc_lag3,"Real GDP (p.c., log) (lag 3)",-0.00750517169919096,0.0183619324458502,-0.0535866542564723,0,0,0,0,0.9969,0.157266159251612,***
infl_yoy_pct_lag2,Inflation YoY (%) (lag 2),0.0159683458239327,0.0396821949417081,0,0,0,0,0.118858796768645,0.8519,0.150081428822227,""
log_inv_pc_lag1,"Investment (p.c., log) (lag 1)",0.00255348948105305,0.00903007158041104,0,0,0,0,0.0261812063201071,0.9095,0.0936534937585469,""
infl_yoy_pct_lag1,Inflation YoY (%) (lag 1),0.0090350926451177,0.0305604677955263,0,0,0,0,0.103971034943814,0.9107,0.0926071279124687,""
log_gdp_pc_lag1,"Real GDP (p.c., log) (lag 1)",-0.00279767355888096,0.0128422036650362,-0.0402927011539385,0,0,0,0,0.9939,0.0679469831139863,***
log_inv_pc_lag4,"Investment (p.c., log) (lag 4)",0.000781647518538495,0.0037625188965386,0,0,0,0,0.00342590149046432,0.9475,0.0546800404906323,""
infl_yoy_pct_lag0,Inflation YoY (%) (lag 0),0.000451095236556243,0.00703266795150576,0,0,0,0,0,0.9895,0.0156681331479286,**
log_private_pc_lag1,"Private Employment (p.c., log) (lag 1)",0.000180978637842308,0.00213582734396865,0,0,0,0,0,0.9877,0.0141510199493516,**
log_private_pc_lag2,"Private Employment (p.c., log) (lag 2)",6.77089858594673e-05,0.00128236815646389,0,0,0,0,0,0.9925,0.0100188040444879,***
log_private_pc_lag4,"Private Employment (p.c., log) (lag 4)",3.72806465632571e-07,0.0011530775313612,0,0,0,0,0,0.9963,0.00845099806292332,***
log_private_pc_lag0,"Private Employment (p.c., log) (lag 0)",4.3035720208404e-05,0.00125221463100879,0,0,0,0,0,0.9943,0.00807134012514757,***
log_private_pc_lag3,"Private Employment (p.c., log) (lag 3)",3.21291197393336e-05,0.00110473885733132,0,0,0,0,0,0.9946,0.00803005410835887,***
