term,variable,post_mean,post_sd,q05,q16,median,q84,q95,prob_direction,inclusion_prob,signif
(Intercept),Intercept,14.7736766036591,0.527504530103433,13.9057243736873,14.2505063525295,14.7767921641986,15.296502535266,15.6474406515979,1,1,***
log_inv_pc_lag0,"Investment (p.c., log) (lag 0)",0.0282047184842053,0.0141517626151002,0,0.00483778073745259,0.0361329042288016,0.0384970369643588,0.0397158527340018,0.8452,0.848290570231197,""
log_oil_real_lag4,Real Oil Price (log) (lag 4),-0.00578543425589243,0.00310960889738441,-0.00962566434153623,-0.008561596009228,-0.00667123408781627,-0.000622167870567279,0,0.9983,0.843088143383337,***
log_oil_real_lag0,Real Oil Price (log) (lag 0),-0.00318713344390963,0.00277671781805964,-0.00733492156713481,-0.00607082519332154,-0.0038200074716352,0,0,0.996,0.634743434709234,***
infl_yoy_pct_lag4,Inflation YoY (%) (lag 4),0.043045911983956,0.054767966216124,0,0,0,0.114581877353943,0.140792456662616,0.5645,0.443345151937824,""
infl_yoy_pct_lag3,Inflation YoY (%) (lag 3),0.0466237046417065,0.0598133673962664,0,0,0,0.125521968835514,0.148021316675686,0.5792,0.427963717917024,""
log_oil_real_lag1,Real Oil Price (log) (lag 1),-0.00227071227843945,0.00332860755392114,-0.0087667106959332,-0.00658195238796952,0,0,0,0.9886,0.379779870259849,**
log_inv_pc_lag1,"Investment (p.c., log) (lag 1)",0.00778579579398619,0.0143698506453739,0,0,0,0.0305023643459739,0.0382856616869844,0.7268,0.283732440960104,""
infl_yoy_pct_lag1,Inflation YoY (%) (lag 1),0.0185753619667848,0.0419518776612599,0,0,0,0.0516444861595899,0.127280226063868,0.7838,0.226219629927058,""
log_oil_real_lag3,Real Oil Price (log) (lag 3),-0.000950186018138066,0.00234767576386994,-0.00695984924970933,-0.00236902790359929,0,0,0,0.9833,0.203920568733997,**
infl_yoy_pct_lag2,Inflation YoY (%) (lag 2),0.0179347012064827,0.0429957789946305,0,0,0,0.0424029942300348,0.129475226013421,0.8098,0.203573536386407,""
log_oil_real_lag2,Real Oil Price (log) (lag 2),-0.00072104938850237,0.00208855642192668,-0.00616686324139852,0,0,0,0,0.9873,0.160211114942726,**
log_inv_pc_lag2,"Investment (p.c., log) (lag 2)",0.00172484881611523,0.0054118602992278,0,0,0,0,0.0143781853845979,0.8641,0.146579031969817,""
infl_yoy_pct_lag0,Inflation YoY (%) (lag 0),0.00713512128911563,0.0243306612622818,0,0,0,0,0.0685628856630073,0.8802,0.133569093126037,""
log_inv_pc_lag4,"Investment (p.c., log) (lag 4)",-0.000268140809761766,0.00223446192719629,0,0,0,0,0,0.9782,0.0647699630533089,**
log_inv_pc_lag3,"Investment (p.c., log) (lag 3)",0.000164364310109541,0.00220047195439883,0,0,0,0,0,0.9606,0.0593923705294728,*
