term,variable,post_mean,post_sd,q05,q16,median,q84,q95,prob_direction,inclusion_prob,signif
(Intercept),Intercept,-19.5298586529518,2.95306219157451,-24.2936346233058,-22.4098381984036,-19.6138674997345,-16.6169094804161,-14.6421833291003,1,1,***
log_sp500_real_lag4,Real S&P 500 (log) (lag 4),0.0302615893008716,0.00913208000053562,0.0190365596705199,0.0235164235097243,0.0288719460288365,0.0342642876728062,0.0511192724181081,0.9987,0.998854661843538,***
vix_lag3,VIX (lag 3),-0.0241553880456375,0.015194671836758,-0.050378797767469,-0.0375466411979808,-0.0254227659853389,0,0,0.999,0.821585657942002,***
log_gdp_pc_lag4,"Real GDP (p.c., log) (lag 4)",-0.0569602271216627,0.0475653217079458,-0.144575042061814,-0.111124671253497,-0.0588062237974469,0,0,0.9987,0.696865583083318,***
vix_lag1,VIX (lag 1),-0.0132956428843561,0.014703979962098,-0.0375718979349836,-0.0307923651964035,0,0,0,0.998,0.497149426557768,***
vix_lag0,VIX (lag 0),-0.0100871391586752,0.0130766881941978,-0.0340145778760323,-0.0270322938673675,0,0,0,0.9968,0.423299000727546,***
epu_lag0,EPU (lag 0),-0.00105335480115854,0.00149411001965732,-0.00395344501348929,-0.00300520305315311,0,0,0,0.9974,0.380653465227999,***
log_sp500_real_lag0,Real S&P 500 (log) (lag 0),0.00327105292739039,0.00615861417916101,0,0,0,0.00952864268841676,0.0178063583597981,0.7143,0.290379220770485,""
log_gdp_pc_lag0,"Real GDP (p.c., log) (lag 0)",0.0210641068357483,0.0370679591841033,0,0,0,0.0683049187645214,0.102343456497713,0.7136,0.289960888392192,""
log_gdp_pc_lag3,"Real GDP (p.c., log) (lag 3)",-0.0220506722958815,0.040637929017616,-0.120298019136303,-0.0631003593653632,0,0,0,0.9956,0.281070664367437,***
vix_lag2,VIX (lag 2),-0.00624417282761522,0.0123970181521202,-0.0344160678598392,-0.0213947412511123,0,0,0,0.9967,0.241853572783542,***
epu_lag1,EPU (lag 1),-0.000439895944997802,0.0010701025144327,-0.0031173279946293,-0.00119646797798899,0,0,0,0.9936,0.182716564946235,***
log_sp500_real_lag3,Real S&P 500 (log) (lag 3),-0.00470225309999221,0.012852566711295,-0.038733758229158,0,0,0,0,0.989,0.158209059046307,**
log_sp500_real_lag1,Real S&P 500 (log) (lag 1),0.00093626401394363,0.0042341739604603,0,0,0,0,0.00931622532542253,0.902,0.108570021311819,""
epu_lag2,EPU (lag 2),-0.000158355032545198,0.000631117257582261,-0.0017003793426772,0,0,0,0,0.9946,0.0827690588941821,***
vix_lag4,VIX (lag 4),-0.00119059739925329,0.0047850621043329,-0.0123490814834411,0,0,0,0,0.9957,0.0781873101586357,***
log_sp500_real_lag2,Real S&P 500 (log) (lag 2),-0.000293734005069007,0.0039352919143714,0,0,0,0,0,0.9749,0.0518716357627399,*
log_gdp_pc_lag1,"Real GDP (p.c., log) (lag 1)",0.00212111806316316,0.0139025876794852,0,0,0,0,0,0.9565,0.0518626527498473,*
log_gdp_pc_lag2,"Real GDP (p.c., log) (lag 2)",-0.00201959310980143,0.0133832156057941,0,0,0,0,0,0.9905,0.0501981114261046,***
epu_lag3,EPU (lag 3),-2.79542548252656e-05,0.00031275309991982,0,0,0,0,0,0.9908,0.0356235014801776,***
epu_lag4,EPU (lag 4),-2.48140560733999e-05,0.000287787084828515,0,0,0,0,0,0.9912,0.0317126604921302,***
