horizon,lower90,lower68,median,upper68,upper90,p,rho,information_set,info_set_label,shock
0,-9.81286908743774e-05,-5.14022597111189e-05,7.69400809684691e-06,6.2949638415543e-05,0.000107230779337474,0.032044375,0.0505897868442961,caldara_style,Caldara-style,one_sd
1,-0.000118103646322652,-5.91435036751421e-05,3.12369532099975e-05,0.000124454026319835,0.000192033382576564,0.032044375,0.0505897868442961,caldara_style,Caldara-style,one_sd
2,-0.000182330664132072,-0.00011334632286149,-1.23035106142592e-05,9.16363776252368e-05,0.000163269433292488,0.032044375,0.0505897868442961,caldara_style,Caldara-style,one_sd
3,-0.000251847188900929,-0.000176502524503133,-6.45271951823859e-05,4.84501378940896e-05,0.000128490495890828,0.032044375,0.0505897868442961,caldara_style,Caldara-style,one_sd
4,-0.000293792462529426,-0.000173803093830501,3.02270269733444e-07,0.000179394121825046,0.000309705597466175,0.032044375,0.0505897868442961,caldara_style,Caldara-style,one_sd
5,-0.000209873198039939,-6.05251826248913e-05,0.000177946042486061,0.000418859876606694,0.000605560829233285,0.032044375,0.0505897868442961,caldara_style,Caldara-style,one_sd
6,-0.00036706885146446,-0.000179824223992625,0.000100046591725321,0.000406319950537586,0.00063921858253292,0.032044375,0.0505897868442961,caldara_style,Caldara-style,one_sd
7,-0.00049000500326029,-0.000264192979649741,6.61869637094614e-05,0.000423796275781235,0.00070394239665758,0.032044375,0.0505897868442961,caldara_style,Caldara-style,one_sd
8,-0.00059408237526846,-0.000337052260505766,4.23691604816796e-05,0.000445692765133672,0.000778392703626663,0.032044375,0.0505897868442961,caldara_style,Caldara-style,one_sd
9,-0.000674943317264969,-0.000385330967505976,2.99804098405059e-05,0.000470669550653276,0.000849812327060201,0.032044375,0.0505897868442961,caldara_style,Caldara-style,one_sd
10,-0.000732002838682948,-0.000420699578102671,2.89467831652152e-05,0.000503520758813724,0.000924912883125218,0.032044375,0.0505897868442961,caldara_style,Caldara-style,one_sd
11,-0.000773463924319493,-0.00043519568586504,3.45989098956261e-05,0.000540662318886284,0.00100773325624503,0.032044375,0.0505897868442961,caldara_style,Caldara-style,one_sd
12,-0.00080693373101381,-0.000446475825347215,4.73255767498397e-05,0.000576317427953095,0.00108419361123965,0.032044375,0.0505897868442961,caldara_style,Caldara-style,one_sd
