horizon,lower90,lower68,median,upper68,upper90,p,rho,information_set,info_set_label,shock
0,-0.000374779819290839,-0.000197357793249731,2.97731348276944e-05,0.000245210924472424,0.000420336884209957,0.032044375,0.0505897868442961,caldara_style,Caldara-style,2001Q3
1,-0.000449178953708652,-0.000226921593952798,0.000121278858846462,0.000488844849058343,0.000761186464069281,0.032044375,0.0505897868442961,caldara_style,Caldara-style,2001Q3
2,-0.000687940774771233,-0.000431510410858135,-4.74849684265182e-05,0.000358603257420974,0.000645089040642441,0.032044375,0.0505897868442961,caldara_style,Caldara-style,2001Q3
3,-0.000943541053529483,-0.000666463214317325,-0.000247392615312681,0.000188654510387897,0.000504667735456935,0.032044375,0.0505897868442961,caldara_style,Caldara-style,2001Q3
4,-0.00109262810582863,-0.000655714537703264,1.1686002122438e-06,0.000711048798527592,0.00124396238503157,0.032044375,0.0505897868442961,caldara_style,Caldara-style,2001Q3
5,-0.000789767134158998,-0.000232035616280109,0.000703288567951051,0.00170806275154851,0.00251681890572098,0.032044375,0.0505897868442961,caldara_style,Caldara-style,2001Q3
6,-0.00135685606607818,-0.000678576812797094,0.000391979866121469,0.00164348423758467,0.00264501830508381,0.032044375,0.0505897868442961,caldara_style,Caldara-style,2001Q3
7,-0.00179296600570961,-0.000991755261680722,0.000257777386721655,0.00171346035468903,0.00292731159102995,0.032044375,0.0505897868442961,caldara_style,Caldara-style,2001Q3
8,-0.00215410811920183,-0.0012529200831958,0.000164564339066418,0.00179894081586294,0.00322887851830001,0.032044375,0.0505897868442961,caldara_style,Caldara-style,2001Q3
9,-0.00243804009101429,-0.00142526179452624,0.000116202121387857,0.00190572179513103,0.00353429877423492,0.032044375,0.0505897868442961,caldara_style,Caldara-style,2001Q3
10,-0.00263920644013302,-0.00155525861330224,0.000112301590780524,0.00204446743636806,0.00386283342647109,0.032044375,0.0505897868442961,caldara_style,Caldara-style,2001Q3
11,-0.00278356625432506,-0.00161329341419468,0.000134250505057671,0.0021988580133591,0.00420159375151526,0.032044375,0.0505897868442961,caldara_style,Caldara-style,2001Q3
12,-0.00289237092266676,-0.00164378398460207,0.000183909862182509,0.00235401107838114,0.0045029341241808,0.032044375,0.0505897868442961,caldara_style,Caldara-style,2001Q3
