horizon,lower90,lower68,median,upper68,upper90,p,rho,information_set,info_set_label,shock
0,-8.12759153993157e-05,-3.64532137734683e-05,2.28397433923722e-05,8.81785728592844e-05,0.000139026185782586,0.032044375,0.0505897868442961,financial,Financial,one_sd
1,-0.000116067927596578,-4.7518567905328e-05,4.86786654584695e-05,0.000152705318285677,0.000231464495927624,0.032044375,0.0505897868442961,financial,Financial,one_sd
2,-0.000183656507457207,-0.000104071987824483,9.59467910376446e-06,0.000133631854240688,0.000218536690001795,0.032044375,0.0505897868442961,financial,Financial,one_sd
3,-0.000260024237621307,-0.000172536149572384,-3.83478446188482e-05,9.90485807415175e-05,0.000198893052368049,0.032044375,0.0505897868442961,financial,Financial,one_sd
4,-0.00036693367934323,-0.000237721426321805,-4.46992399339326e-05,0.000156846013575972,0.000302950667207167,0.032044375,0.0505897868442961,financial,Financial,one_sd
5,-0.000376476004343129,-0.000210743895378475,3.10636278919845e-05,0.000295205750393292,0.000483791456207859,0.032044375,0.0505897868442961,financial,Financial,one_sd
6,-0.000498033068901508,-0.000303164397877371,-1.94792838665416e-05,0.000276308236532863,0.000518830950989643,0.032044375,0.0505897868442961,financial,Financial,one_sd
7,-0.000587753973988854,-0.000358663406074171,-4.37984970510464e-05,0.000284329141882064,0.000555509812717658,0.032044375,0.0505897868442961,financial,Financial,one_sd
8,-0.000635499446796242,-0.000381350746467751,-4.49636475873668e-05,0.000302010628940526,0.000595887027462437,0.032044375,0.0505897868442961,financial,Financial,one_sd
9,-0.000645217357859225,-0.00037975906482727,-3.49940685729997e-05,0.000321366761511555,0.000638385393722545,0.032044375,0.0505897868442961,financial,Financial,one_sd
10,-0.000647700812723215,-0.000362685416186635,-1.56987428041721e-05,0.000346929466639994,0.000679787211105967,0.032044375,0.0505897868442961,financial,Financial,one_sd
11,-0.000622660836484521,-0.000338338938204632,5.19864986304498e-06,0.000369071666847258,0.000710032591478613,0.032044375,0.0505897868442961,financial,Financial,one_sd
12,-0.000599869125105886,-0.000310670485491734,2.70013999670075e-05,0.000387279071711738,0.000728990943239812,0.032044375,0.0505897868442961,financial,Financial,one_sd
