horizon,lower90,lower68,median,upper68,upper90,p,rho,information_set,info_set_label,shock
0,-0.000315798474064129,-0.000142683355757112,9.01489971622711e-05,0.000351350301349399,0.000558261934282291,0.032044375,0.0505897868442961,financial,Financial,2001Q3
1,-0.000448774844239912,-0.000185566966912357,0.00019290831242433,0.000614474336008338,0.000943031172527932,0.032044375,0.0505897868442961,financial,Financial,2001Q3
2,-0.000702792905076076,-0.000402203735611394,3.78079967942591e-05,0.000536826409450395,0.000888265840523695,0.032044375,0.0505897868442961,financial,Financial,2001Q3
3,-0.000981298884934615,-0.000660083858051563,-0.000149889638534411,0.000396008079640919,0.000806829668243314,0.032044375,0.0505897868442961,financial,Financial,2001Q3
4,-0.00136294243639127,-0.000899165354629856,-0.000174627667087095,0.000632736991741415,0.0012453884880545,0.032044375,0.0505897868442961,financial,Financial,2001Q3
5,-0.00140181504975815,-0.000802753272928161,0.00012278023692869,0.0012147962481769,0.00203462973032546,0.032044375,0.0505897868442961,financial,Financial,2001Q3
6,-0.00182635492880959,-0.00114013526173787,-7.63900335196887e-05,0.00113098694693698,0.00217582342788478,0.032044375,0.0505897868442961,financial,Financial,2001Q3
7,-0.00213063539676155,-0.00133733671142369,-0.000171129568269792,0.00116334438466274,0.00233609277321539,0.032044375,0.0505897868442961,financial,Financial,2001Q3
8,-0.00230207657378149,-0.00141817348231764,-0.000175832085831401,0.00123526726553208,0.00250838270489347,0.032044375,0.0505897868442961,financial,Financial,2001Q3
9,-0.00233973164408419,-0.00142248136218294,-0.000137051696312336,0.00131809641176451,0.00269424328725583,0.032044375,0.0505897868442961,financial,Financial,2001Q3
10,-0.0023528510998034,-0.00136038967351222,-6.16554697684887e-05,0.00142205232569291,0.0028612029476489,0.032044375,0.0505897868442961,financial,Financial,2001Q3
11,-0.00227732612607562,-0.00127477490425586,2.04681063824177e-05,0.00151432740158133,0.00300170986840788,0.032044375,0.0505897868442961,financial,Financial,2001Q3
12,-0.00220841021523464,-0.00116872905222528,0.000106727495191218,0.00159668366472589,0.00308326363545841,0.032044375,0.0505897868442961,financial,Financial,2001Q3
