horizon,lower90,lower68,median,upper68,upper90,p,rho,information_set,info_set_label,shock
0,-9.48625091567797e-05,-1.89351223746288e-05,8.97232914137246e-05,0.00020843446284942,0.000300156567116112,0.032044375,0.0505897868442961,monetary,Monetary,one_sd
1,1.01657279173919e-05,0.000122778534964692,0.000304988602550901,0.00051478732470897,0.000681979083700578,0.032044375,0.0505897868442961,monetary,Monetary,one_sd
2,-8.49322523892992e-05,4.32255564682393e-05,0.000258132114459617,0.000513534520484597,0.000727512687634697,0.032044375,0.0505897868442961,monetary,Monetary,one_sd
3,-0.000179174313739031,-1.70569265213191e-05,0.000242028159010673,0.000553924049105229,0.000830140119244832,0.032044375,0.0505897868442961,monetary,Monetary,one_sd
4,-0.000303687669436993,-0.00012406246336488,0.000157638213383141,0.000487593615909878,0.000774062452451026,0.032044375,0.0505897868442961,monetary,Monetary,one_sd
5,-0.000518126191035406,-0.000316239171906107,-1.59078709503569e-05,0.000318634929704244,0.000600082806217265,0.032044375,0.0505897868442961,monetary,Monetary,one_sd
6,-0.000538212241168806,-0.000333739392190597,-3.7438301338657e-05,0.000289444061301654,0.000558865754593202,0.032044375,0.0505897868442961,monetary,Monetary,one_sd
7,-0.000597174274105986,-0.000383586591350855,-8.94823158880606e-05,0.000226935795088266,0.000487232819100648,0.032044375,0.0505897868442961,monetary,Monetary,one_sd
8,-0.000616029528139417,-0.000397206242639278,-0.000104137380056881,0.000199133561761669,0.000451252070291842,0.032044375,0.0505897868442961,monetary,Monetary,one_sd
9,-0.000624163717446082,-0.000397945907149522,-0.000108988870736767,0.000177861504372746,0.000421655922520433,0.032044375,0.0505897868442961,monetary,Monetary,one_sd
10,-0.00060674209952708,-0.00037755590464052,-0.000103275875458494,0.000169088587531737,0.00039797759600511,0.032044375,0.0505897868442961,monetary,Monetary,one_sd
11,-0.000585818918483469,-0.000352015032655121,-9.44972262651271e-05,0.000164789144053002,0.000382696090038982,0.032044375,0.0505897868442961,monetary,Monetary,one_sd
12,-0.000547815895028847,-0.000326686122928763,-7.85242866958146e-05,0.0001635922429252,0.000374762425186191,0.032044375,0.0505897868442961,monetary,Monetary,one_sd
