horizon,lower90,lower68,median,upper68,upper90,p,rho,information_set,info_set_label,shock
0,-0.000349640522425953,-7.05464913516586e-05,0.00033968528343315,0.000802878080576074,0.00117008239880541,0.032044375,0.0505897868442961,monetary,Monetary,2001Q3
1,3.80348524482584e-05,0.000467508221264384,0.0011884328098739,0.00205960888003791,0.00278280224493651,0.032044375,0.0505897868442961,monetary,Monetary,2001Q3
2,-0.000314293555941304,0.000162414571776363,0.000998300719719178,0.00204097478329066,0.0029463055580583,0.032044375,0.0505897868442961,monetary,Monetary,2001Q3
3,-0.000653063628397259,-6.35741042585191e-05,0.000932739027628853,0.00220288508932567,0.00337954183848176,0.032044375,0.0505897868442961,monetary,Monetary,2001Q3
4,-0.00109393407044777,-0.000456054426496224,0.000601536036783623,0.00192371297601168,0.00311692705776626,0.032044375,0.0505897868442961,monetary,Monetary,2001Q3
5,-0.00182264214399746,-0.00113627325132958,-5.93432747155098e-05,0.00123270537202157,0.00237730186748751,0.032044375,0.0505897868442961,monetary,Monetary,2001Q3
6,-0.00189084144700815,-0.00119882433202934,-0.000139243872648001,0.00111714644797078,0.00220928837999142,0.032044375,0.0505897868442961,monetary,Monetary,2001Q3
7,-0.00209292528159936,-0.00136952382142991,-0.000330579588427715,0.000869210665191823,0.00191772790607468,0.032044375,0.0505897868442961,monetary,Monetary,2001Q3
8,-0.00215155421354958,-0.00141929668423676,-0.000383740317023522,0.000759157831723855,0.00176072797926422,0.032044375,0.0505897868442961,monetary,Monetary,2001Q3
9,-0.00217595909962759,-0.00141912382936158,-0.000402310250711398,0.000679559816090134,0.00163031134333185,0.032044375,0.0505897868442961,monetary,Monetary,2001Q3
10,-0.00213158800715303,-0.00135220501102621,-0.000380947904714809,0.000641323603328486,0.00153838639919813,0.032044375,0.0505897868442961,monetary,Monetary,2001Q3
11,-0.00205425884098196,-0.00126548553075608,-0.000349280932021352,0.000627169569295025,0.00148909803884214,0.032044375,0.0505897868442961,monetary,Monetary,2001Q3
12,-0.0019342613787178,-0.00117653145016115,-0.000291096168207531,0.000621792625026987,0.00144213895164572,0.032044375,0.0505897868442961,monetary,Monetary,2001Q3
