horizon,lower90,lower68,median,upper68,upper90,p,rho,information_set,info_set_label,shock
0,-0.000113543649082568,9.38924603914184e-05,0.000451805817908709,0.000869873384088225,0.00118873694978313,0.032044375,0.0505897868442961,real_side,Real-side,2001Q3
1,0.000421760923711676,0.000786885364922169,0.00140327024722985,0.00214540491259087,0.00272041279917585,0.032044375,0.0505897868442961,real_side,Real-side,2001Q3
2,0.000123326465843284,0.000618517353498784,0.00141627060963252,0.00236271958542465,0.00309539513721022,0.032044375,0.0505897868442961,real_side,Real-side,2001Q3
3,-8.41558911295752e-05,0.000531522303634372,0.00155222751835383,0.00277751025334602,0.00364547734984804,0.032044375,0.0505897868442961,real_side,Real-side,2001Q3
4,-0.000550237278108305,0.000141732659168927,0.0012756236702871,0.00267303111366122,0.00372455751278447,0.032044375,0.0505897868442961,real_side,Real-side,2001Q3
5,-0.00107100171586329,-0.000316064554066157,0.000961690974103766,0.00249096462026795,0.00373226829792018,0.032044375,0.0505897868442961,real_side,Real-side,2001Q3
6,-0.00125441710643734,-0.00043212588287536,0.000925614902220048,0.00261867773078349,0.00405616502079381,0.032044375,0.0505897868442961,real_side,Real-side,2001Q3
7,-0.00138723433702576,-0.0005265122785989,0.000906538133091588,0.00275266527186685,0.00433857376832365,0.032044375,0.0505897868442961,real_side,Real-side,2001Q3
8,-0.00157429878593111,-0.000671152460570436,0.000832671141174991,0.00279071640787087,0.00445446124357653,0.032044375,0.0505897868442961,real_side,Real-side,2001Q3
9,-0.00175392524421099,-0.000787905364139432,0.000739086941377331,0.00277758814464761,0.00461606574333341,0.032044375,0.0505897868442961,real_side,Real-side,2001Q3
10,-0.00189598889413468,-0.000893973894059671,0.000645993741037339,0.00273959579739348,0.00464256214073516,0.032044375,0.0505897868442961,real_side,Real-side,2001Q3
11,-0.00203922185976629,-0.000989753723517627,0.000568027954078197,0.00269475532508754,0.00468632621695386,0.032044375,0.0505897868442961,real_side,Real-side,2001Q3
12,-0.0021262350396817,-0.00106644836381606,0.000500003520200641,0.00262743894874842,0.00467665058924928,0.032044375,0.0505897868442961,real_side,Real-side,2001Q3
