horizon,lower90,lower68,median,upper68,upper90,p,rho,information_set,info_set_label,shock
0,-0.000152096032769613,0,0.000275771965366933,0.000698166052341253,0.000964263821189145,0.032044375,0.0505897868442961,real_side_lighter,Real-side (lighter),2001Q3
1,3.88958881190266e-05,0.000384921174558798,0.000958411376303597,0.00161939026440609,0.0020545192498493,0.032044375,0.0505897868442961,real_side_lighter,Real-side (lighter),2001Q3
2,-9.51395027850307e-05,0.000303062994966127,0.000936223213005864,0.00163400724810844,0.00212431222217387,0.032044375,0.0505897868442961,real_side_lighter,Real-side (lighter),2001Q3
3,-0.000421974389408672,4.23903697589658e-05,0.000769951724137885,0.00158429131846452,0.0021721695605135,0.032044375,0.0505897868442961,real_side_lighter,Real-side (lighter),2001Q3
4,-0.000700103186582326,-0.000144782903666082,0.000713270903594992,0.00170080900444416,0.00237599405765132,0.032044375,0.0505897868442961,real_side_lighter,Real-side (lighter),2001Q3
5,-0.00104354971243706,-0.000425742567293553,0.00056023800396125,0.00170535988749901,0.00256705316065705,0.032044375,0.0505897868442961,real_side_lighter,Real-side (lighter),2001Q3
6,-0.001136266274209,-0.000466462842324374,0.000608765042214464,0.00191581980902084,0.00292722346095989,0.032044375,0.0505897868442961,real_side_lighter,Real-side (lighter),2001Q3
7,-0.00125913819582443,-0.000526772539928931,0.000637269096271758,0.00207945627711271,0.00328983707144932,0.032044375,0.0505897868442961,real_side_lighter,Real-side (lighter),2001Q3
8,-0.00135290177768029,-0.000575122298298797,0.000656365588308687,0.0022084621203776,0.00355716104918447,0.032044375,0.0505897868442961,real_side_lighter,Real-side (lighter),2001Q3
9,-0.00142268430380433,-0.000621223159996731,0.000662995130639876,0.00231219269312381,0.00376197730202724,0.032044375,0.0505897868442961,real_side_lighter,Real-side (lighter),2001Q3
10,-0.00148798998614252,-0.000660814419252469,0.000656059676982857,0.00239407925265311,0.00391807885055352,0.032044375,0.0505897868442961,real_side_lighter,Real-side (lighter),2001Q3
11,-0.00154678965317811,-0.000698173662759578,0.000653722106022555,0.00244368647251979,0.00404893266929295,0.032044375,0.0505897868442961,real_side_lighter,Real-side (lighter),2001Q3
12,-0.00158367310869624,-0.000734306499129769,0.000641435528422264,0.00246232692396585,0.00413932811085742,0.032044375,0.0505897868442961,real_side_lighter,Real-side (lighter),2001Q3
