horizon,lower90,lower68,median,upper68,upper90,p,rho,information_set,info_set_label,shock
0,-5.15646652625558e-05,-1.04843945696952e-06,6.34146692224833e-05,0.000157740802332786,0.000233048183574816,0.032044375,0.0505897868442961,uncertainty,Uncertainty,one_sd
1,-9.08188714294073e-05,-2.3602300832396e-06,0.00012709331514909,0.000265480059485171,0.000369849820799575,0.032044375,0.0505897868442961,uncertainty,Uncertainty,one_sd
2,-0.000173743196209583,-6.55185821189989e-05,9.10111845055057e-05,0.000258570848157226,0.000384719735870956,0.032044375,0.0505897868442961,uncertainty,Uncertainty,one_sd
3,-0.000280447447262814,-0.000142468998311245,5.35107419292269e-05,0.000262893456539477,0.000424026836714048,0.032044375,0.0505897868442961,uncertainty,Uncertainty,one_sd
4,-0.000391723943494572,-0.000243743633544328,-1.41169155343556e-05,0.000219919244681866,0.000394323170597969,0.032044375,0.0505897868442961,uncertainty,Uncertainty,one_sd
5,-0.000485090570057343,-0.000304070605106481,-4.85425362594088e-05,0.000220861018955145,0.000416089185122559,0.032044375,0.0505897868442961,uncertainty,Uncertainty,one_sd
6,-0.000514758602420444,-0.000320503348216044,-4.29221460498319e-05,0.000260467086344771,0.000491031939920276,0.032044375,0.0505897868442961,uncertainty,Uncertainty,one_sd
7,-0.000561324559415666,-0.00034421967782577,-5.03068305745934e-05,0.000274874773394676,0.000530613438765548,0.032044375,0.0505897868442961,uncertainty,Uncertainty,one_sd
8,-0.000567229912801357,-0.000337507926245838,-3.37552508236881e-05,0.000304095904392393,0.000579880131083679,0.032044375,0.0505897868442961,uncertainty,Uncertainty,one_sd
9,-0.00055754310695725,-0.000324036040933969,-1.28395090605461e-05,0.000328176801123417,0.000619156594276393,0.032044375,0.0505897868442961,uncertainty,Uncertainty,one_sd
10,-0.000537912483538468,-0.000299387270954343,1.08590997062209e-05,0.000354236848707157,0.000655313649911022,0.032044375,0.0505897868442961,uncertainty,Uncertainty,one_sd
11,-0.000504187268832996,-0.000274797598107452,3.27153585249458e-05,0.000381379964794083,0.000696684358204095,0.032044375,0.0505897868442961,uncertainty,Uncertainty,one_sd
12,-0.000476593852217653,-0.000250950736568872,5.2578027529354e-05,0.000400894250220009,0.000725855832790399,0.032044375,0.0505897868442961,uncertainty,Uncertainty,one_sd
