horizon,lower90,lower68,median,upper68,upper90,p,rho,information_set,info_set_label,shock
0,-0.000195439334365913,-3.99844253266203e-06,0.000243761821637809,0.000613400705896526,0.000916001307393869,0.032044375,0.0505897868442961,uncertainty,Uncertainty,2001Q3
1,-0.000341665633247624,-8.99962548324684e-06,0.00049325573137116,0.00105229289208376,0.00148710015630242,0.032044375,0.0505897868442961,uncertainty,Uncertainty,2001Q3
2,-0.000647782473565507,-0.000247661849069473,0.000351425255627548,0.00102190117858626,0.00154524381922836,0.032044375,0.0505897868442961,uncertainty,Uncertainty,2001Q3
3,-0.00103038459641603,-0.000532931698324332,0.000205699605132873,0.00103741572991356,0.00170309959234816,0.032044375,0.0505897868442961,uncertainty,Uncertainty,2001Q3
4,-0.00140782713313214,-0.000896481069948994,-5.3721377112184e-05,0.000866319473234009,0.00159345921942289,0.032044375,0.0505897868442961,uncertainty,Uncertainty,2001Q3
5,-0.00172571614973216,-0.00110746858560229,-0.000183882559243774,0.000867895698870764,0.00168429330441365,0.032044375,0.0505897868442961,uncertainty,Uncertainty,2001Q3
6,-0.00183071720410047,-0.00116729901644468,-0.000162612788559772,0.00102859794448926,0.0019989105907539,0.032044375,0.0505897868442961,uncertainty,Uncertainty,2001Q3
7,-0.00197827668493007,-0.00124727165875429,-0.000190634254825478,0.00108653341119364,0.00215258401678059,0.032044375,0.0505897868442961,uncertainty,Uncertainty,2001Q3
8,-0.0019982207028503,-0.00122335946867273,-0.000128214921357152,0.00120743763940191,0.00236805235128745,0.032044375,0.0505897868442961,uncertainty,Uncertainty,2001Q3
9,-0.00197861318912491,-0.00118200924560022,-4.89029198268839e-05,0.00130575346322493,0.00252953157905295,0.032044375,0.0505897868442961,uncertainty,Uncertainty,2001Q3
10,-0.00192135987969902,-0.00109429487411437,4.14872078036586e-05,0.00141506318970514,0.00268528969530111,0.032044375,0.0505897868442961,uncertainty,Uncertainty,2001Q3
11,-0.00180919894036225,-0.00100912214953038,0.000125324033957626,0.00152855303522324,0.00284215475507466,0.032044375,0.0505897868442961,uncertainty,Uncertainty,2001Q3
12,-0.00171897877937096,-0.000924413731245091,0.000202132725806594,0.00161034753855407,0.00298225297942394,0.032044375,0.0505897868442961,uncertainty,Uncertainty,2001Q3
