horizon,lower90,lower68,median,upper68,upper90,p,rho,alpha,application,information_set,info_set_label,shock
0,-0.000143320543531143,-7.34981755006835e-05,1.06088843424522e-05,8.42744227140259e-05,0.00014059254224793,0.032044375,0.0505897868442961,0.99,dralacbn,caldara_style,Caldara-style,one_sd
1,-0.000178209341809346,-8.62330810130088e-05,4.38023350979554e-05,0.000165952241585451,0.000247161821926935,0.032044375,0.0505897868442961,0.99,dralacbn,caldara_style,Caldara-style,one_sd
2,-0.000288505344233807,-0.00017345408859933,-1.79426620282707e-05,0.000127245980457481,0.000221586732776575,0.032044375,0.0505897868442961,0.99,dralacbn,caldara_style,Caldara-style,one_sd
3,-0.000414657587942205,-0.000280670914028874,-9.77558264178054e-05,6.94746301092161e-05,0.000178968227900105,0.032044375,0.0505897868442961,0.99,dralacbn,caldara_style,Caldara-style,one_sd
4,-0.000515179719758967,-0.000292529614398621,4.73568887401563e-07,0.000263819709903803,0.000433223849587862,0.032044375,0.0505897868442961,0.99,dralacbn,caldara_style,Caldara-style,one_sd
5,-0.000384301902764097,-0.000103230961820598,0.00028221343615888,0.000617704932571653,0.000846658847751349,0.032044375,0.0505897868442961,0.99,dralacbn,caldara_style,Caldara-style,one_sd
6,-0.000723456011830465,-0.0003376391634832,0.000173922938151152,0.000656777587160183,0.000979666169104787,0.032044375,0.0505897868442961,0.99,dralacbn,caldara_style,Caldara-style,one_sd
7,-0.0010345949491552,-0.000528268286805569,0.000121632169407082,0.000727679658594391,0.00116438418399265,0.032044375,0.0505897868442961,0.99,dralacbn,caldara_style,Caldara-style,one_sd
8,-0.00132096116092555,-0.000706732676335732,8.22369705233469e-05,0.000798651747465445,0.00134052961571926,0.032044375,0.0505897868442961,0.99,dralacbn,caldara_style,Caldara-style,one_sd
9,-0.00155302566842133,-0.000837846858061228,5.93050850742627e-05,0.00088296528938564,0.00152824845432158,0.032044375,0.0505897868442961,0.99,dralacbn,caldara_style,Caldara-style,one_sd
10,-0.00174245628389436,-0.000941802437961595,5.88619550991945e-05,0.000971964138708252,0.00172747674469784,0.032044375,0.0505897868442961,0.99,dralacbn,caldara_style,Caldara-style,one_sd
11,-0.00189786779552769,-0.00100363478145269,7.44076370952432e-05,0.00106946992156349,0.0019253378493424,0.032044375,0.0505897868442961,0.99,dralacbn,caldara_style,Caldara-style,one_sd
12,-0.00202942565322241,-0.00104698568019919,9.99853262508947e-05,0.00116915000438015,0.00213379841351139,0.032044375,0.0505897868442961,0.99,dralacbn,caldara_style,Caldara-style,one_sd
0,-0.000161993681308275,-8.23330414219198e-05,1.17602102356323e-05,9.24165491899906e-05,0.000153650058170234,0.032044375,0.0505897868442961,0.999,dralacbn,caldara_style,Caldara-style,one_sd
1,-0.000203525121433379,-9.71858333492592e-05,4.85998922976922e-05,0.00018123889111593,0.000267448089902052,0.032044375,0.0505897868442961,0.999,dralacbn,caldara_style,Caldara-style,one_sd
2,-0.000334000552293369,-0.000198982854634416,-2.02129196596648e-05,0.000140912034628857,0.000242253589674815,0.032044375,0.0505897868442961,0.999,dralacbn,caldara_style,Caldara-style,one_sd
3,-0.00048699835919995,-0.000326027227316482,-0.000111757487287737,7.78788816042127e-05,0.000198556938946851,0.032044375,0.0505897868442961,0.999,dralacbn,caldara_style,Caldara-style,one_sd
4,-0.000617352113840821,-0.000347252020139265,5.46464109603753e-07,0.000296558123717316,0.000478994458266528,0.032044375,0.0505897868442961,0.999,dralacbn,caldara_style,Caldara-style,one_sd
5,-0.000464124403848142,-0.000122319104740845,0.000325603740644428,0.000689641495298927,0.000924862747876564,0.032044375,0.0505897868442961,0.999,dralacbn,caldara_style,Caldara-style,one_sd
6,-0.000900089356733842,-0.000411944386414234,0.000206829929136062,0.000756440381095098,0.0011027436643845,0.032044375,0.0505897868442961,0.999,dralacbn,caldara_style,Caldara-style,one_sd
7,-0.0013066549543168,-0.000657726435442991,0.00014707470925252,0.000856091885758538,0.0013317052173906,0.032044375,0.0505897868442961,0.999,dralacbn,caldara_style,Caldara-style,one_sd
8,-0.00169735772234139,-0.000889404510744542,0.000100826856637874,0.000948341586035121,0.00155706111361348,0.032044375,0.0505897868442961,0.999,dralacbn,caldara_style,Caldara-style,one_sd
9,-0.00202410645326939,-0.00106724743118855,7.29034988669504e-05,0.00106244147606378,0.00180278115360226,0.032044375,0.0505897868442961,0.999,dralacbn,caldara_style,Caldara-style,one_sd
10,-0.00227615210409115,-0.00120812399596224,7.36065228739702e-05,0.00117154324680216,0.00206221945614671,0.032044375,0.0505897868442961,0.999,dralacbn,caldara_style,Caldara-style,one_sd
11,-0.00251356710664743,-0.00130209587577863,9.31782564728076e-05,0.00130079482489886,0.00231448696994744,0.032044375,0.0505897868442961,0.999,dralacbn,caldara_style,Caldara-style,one_sd
12,-0.00268677765152941,-0.00136771917065323,0.00012635575589183,0.00143690158239918,0.00257852163458776,0.032044375,0.0505897868442961,0.999,dralacbn,caldara_style,Caldara-style,one_sd
0,-0.000528736731302851,-0.000276837649680712,4.11508264529532e-05,0.000336608499857857,0.000573219811654336,0.032044375,0.0505897868442961,0.99,dralacbn,caldara_style,Caldara-style,2001Q3
1,-0.000649572297288424,-0.000323374831235634,0.000172144472150085,0.000683906655578022,0.00105051376446483,0.032044375,0.0505897868442961,0.99,dralacbn,caldara_style,Caldara-style,2001Q3
2,-0.00102943313270768,-0.00063682216797897,-6.89669222802784e-05,0.000514228615812268,0.000922265428322176,0.032044375,0.0505897868442961,0.99,dralacbn,caldara_style,Caldara-style,2001Q3
3,-0.00144200538496131,-0.00100445766632598,-0.000366814723513178,0.000274976126477938,0.000733537687002851,0.032044375,0.0505897868442961,0.99,dralacbn,caldara_style,Caldara-style,2001Q3
4,-0.00178906971527685,-0.00105554628639283,1.83100543337325e-06,0.00109599383147562,0.00189262983845553,0.032044375,0.0505897868442961,0.99,dralacbn,caldara_style,Caldara-style,2001Q3
5,-0.00137788411289197,-0.00039214210320117,0.00116204625326349,0.00277145093080974,0.0040510863646108,0.032044375,0.0505897868442961,0.99,dralacbn,caldara_style,Caldara-style,2001Q3
6,-0.0025350027413958,-0.00123378306808021,0.000693203666175125,0.00285192855473194,0.0045447868687298,0.032044375,0.0505897868442961,0.99,dralacbn,caldara_style,Caldara-style,2001Q3
7,-0.00353589412656667,-0.00190391019287181,0.000478406699182393,0.00315033991783709,0.00535996642908279,0.032044375,0.0505897868442961,0.99,dralacbn,caldara_style,Caldara-style,2001Q3
8,-0.00447123217751363,-0.00250982282580425,0.00032067163957487,0.00343260898300043,0.00613695467199602,0.032044375,0.0505897868442961,0.99,dralacbn,caldara_style,Caldara-style,2001Q3
9,-0.00526793303210539,-0.00297753126975111,0.000230559164595724,0.00378074517089818,0.00689163797742183,0.032044375,0.0505897868442961,0.99,dralacbn,caldara_style,Caldara-style,2001Q3
10,-0.00591747343660249,-0.00334172270420433,0.000229321110426879,0.00413489706507684,0.00781233678529859,0.032044375,0.0505897868442961,0.99,dralacbn,caldara_style,Caldara-style,2001Q3
