horizon,lower90,lower68,median,upper68,upper90,p,rho,alpha,application,information_set,info_set_label,shock
0,-0.000134262981389453,-5.93854382582783e-05,3.63249518953446e-05,0.000137719416192685,0.000213531230594709,0.032044375,0.0505897868442961,0.99,dralacbn,financial,Financial,one_sd
1,-0.000201502537989013,-8.08616046397702e-05,7.92728315794147e-05,0.000239639540139786,0.00035309908313862,0.032044375,0.0505897868442961,0.99,dralacbn,financial,Financial,one_sd
2,-0.000336826213356307,-0.000185416437891499,1.63465247534841e-05,0.000218842765220673,0.000347352773176669,0.032044375,0.0505897868442961,0.99,dralacbn,financial,Financial,one_sd
3,-0.000495892189886429,-0.000322026505891655,-6.82996101757181e-05,0.000168563158243017,0.000328819312116056,0.032044375,0.0505897868442961,0.99,dralacbn,financial,Financial,one_sd
4,-0.000773695313544761,-0.000483332439426777,-8.52851130584559e-05,0.000285552094512436,0.000527376614450489,0.032044375,0.0505897868442961,0.99,dralacbn,financial,Financial,one_sd
5,-0.000846481273274068,-0.000445434136240762,6.22111750935555e-05,0.000552590999129531,0.000870740850151601,0.032044375,0.0505897868442961,0.99,dralacbn,financial,Financial,one_sd
6,-0.00116332964020887,-0.000679065270964004,-4.07756698341272e-05,0.000546340959980327,0.00097843449823817,0.032044375,0.0505897868442961,0.99,dralacbn,financial,Financial,one_sd
7,-0.00143156517164343,-0.000832969864056702,-9.34501261930631e-05,0.000581528204789849,0.00108701467261505,0.032044375,0.0505897868442961,0.99,dralacbn,financial,Financial,one_sd
8,-0.00160952620119186,-0.000905421573847517,-0.000101272517645388,0.000635218060136679,0.00120184478509626,0.032044375,0.0505897868442961,0.99,dralacbn,financial,Financial,one_sd
9,-0.00168080840878878,-0.000922515220047833,-7.65619383679191e-05,0.000697841283930145,0.00132444232350203,0.032044375,0.0505897868442961,0.99,dralacbn,financial,Financial,one_sd
10,-0.0016947297260256,-0.000894222648407516,-3.55716472637494e-05,0.000758099354221001,0.00142788486071916,0.032044375,0.0505897868442961,0.99,dralacbn,financial,Financial,one_sd
11,-0.00163918434128766,-0.000839120990024551,1.18225808571574e-05,0.000820468090766211,0.00152585337092754,0.032044375,0.0505897868442961,0.99,dralacbn,financial,Financial,one_sd
12,-0.00159382143202775,-0.000783391563181914,6.23949428456665e-05,0.000873573312133967,0.00160051985089333,0.032044375,0.0505897868442961,0.99,dralacbn,financial,Financial,one_sd
0,-0.000158157119143166,-6.94392463459632e-05,4.21118479584856e-05,0.000158380059227734,0.000244402852283507,0.032044375,0.0505897868442961,0.999,dralacbn,financial,Financial,one_sd
1,-0.000240075752454862,-9.56423027167953e-05,9.23608214152966e-05,0.000275490102391339,0.000402934636248255,0.032044375,0.0505897868442961,0.999,dralacbn,financial,Financial,one_sd
2,-0.000410623044281435,-0.00022251961575184,1.92727906555053e-05,0.000255378365486698,0.000401094829181315,0.032044375,0.0505897868442961,0.999,dralacbn,financial,Financial,one_sd
3,-0.00061526240502995,-0.000393766185455841,-8.17247376426831e-05,0.000199684235986259,0.000383899211544518,0.032044375,0.0505897868442961,0.999,dralacbn,financial,Financial,one_sd
4,-0.000987020197992055,-0.000608561496244797,-0.00010460732899722,0.000344257664462504,0.000624164315941892,0.032044375,0.0505897868442961,0.999,dralacbn,financial,Financial,one_sd
5,-0.00109279691606497,-0.000566114867414927,7.69935813715143e-05,0.000665409546528762,0.00103657822043885,0.032044375,0.0505897868442961,0.999,dralacbn,financial,Financial,one_sd
6,-0.00152114668145981,-0.000878441459290306,-5.17356452616156e-05,0.000671190050322103,0.00117711098483025,0.032044375,0.0505897868442961,0.999,dralacbn,financial,Financial,one_sd
7,-0.00189374238945913,-0.00108442469031884,-0.000118822450885847,0.000723665193944721,0.00132364166232861,0.032044375,0.0505897868442961,0.999,dralacbn,financial,Financial,one_sd
8,-0.00214352005767768,-0.00118919034266252,-0.000129535881438197,0.000794281837338012,0.00146847465293364,0.032044375,0.0505897868442961,0.999,dralacbn,financial,Financial,one_sd
9,-0.00226276483150374,-0.0012165609048231,-9.9271650390996e-05,0.000877384555343469,0.00163023564241292,0.032044375,0.0505897868442961,0.999,dralacbn,financial,Financial,one_sd
10,-0.00228652063994772,-0.0011832944698571,-4.55797073008503e-05,0.000956838109382184,0.00176861952557639,0.032044375,0.0505897868442961,0.999,dralacbn,financial,Financial,one_sd
11,-0.00222378569768381,-0.00112039426499563,1.52231796315769e-05,0.00103830684419064,0.00190012801426777,0.032044375,0.0505897868442961,0.999,dralacbn,financial,Financial,one_sd
12,-0.00216450888241768,-0.00104969303804003,8.04823573227857e-05,0.00111484069922394,0.00200986402825991,0.032044375,0.0505897868442961,0.999,dralacbn,financial,Financial,one_sd
0,-0.000511927463691317,-0.000230193707028618,0.000144298512943224,0.000562676470516811,0.000890026992207487,0.032044375,0.0505897868442961,0.99,dralacbn,financial,Financial,2001Q3
1,-0.000756920825473173,-0.000311483497760397,0.00031855367596364,0.00100826916759457,0.00153725566876489,0.032044375,0.0505897868442961,0.99,dralacbn,financial,Financial,2001Q3
2,-0.0012387740763046,-0.000701051298845447,6.45670903353969e-05,0.000907607392213556,0.00149152842359262,0.032044375,0.0505897868442961,0.99,dralacbn,financial,Financial,2001Q3
3,-0.0017741646362006,-0.0011860167853779,-0.00026472569120882,0.000688319470622095,0.00139804944458512,0.032044375,0.0505897868442961,0.99,dralacbn,financial,Financial,2001Q3
4,-0.00268264601005125,-0.00175320485856961,-0.000330126774343164,0.00118917633811241,0.00231474543767525,0.032044375,0.0505897868442961,0.99,dralacbn,financial,Financial,2001Q3
5,-0.00296571029341495,-0.00164039119941602,0.000246959765773189,0.00239194888629246,0.00399372202117047,0.032044375,0.0505897868442961,0.99,dralacbn,financial,Financial,2001Q3
6,-0.00401531929094658,-0.00244935665668098,-0.000159390807619017,0.00233117373343413,0.00443512231261469,0.032044375,0.0505897868442961,0.99,dralacbn,financial,Financial,2001Q3
7,-0.00486721611879071,-0.00298306132256507,-0.0003634599885607,0.00245747195788216,0.0049048870946586,0.032044375,0.0505897868442961,0.99,dralacbn,financial,Financial,2001Q3
8,-0.00540332371845918,-0.00323188671549725,-0.000392081525233713,0.00268719920545378,0.00539962149405034,0.032044375,0.0505897868442961,0.99,dralacbn,financial,Financial,2001Q3
9,-0.00573809740740625,-0.00331255495717471,-0.000298560249840266,0.00297222424600106,0.00593170393819601,0.032044375,0.0505897868442961,0.99,dralacbn,financial,Financial,2001Q3
10,-0.00582171966506603,-0.00323768238430944,-0.00013946556145014,0.00322648626384238,0.00642276326082622,0.032044375,0.0505897868442961,0.99,dralacbn,financial,Financial,2001Q3
11,-0.00570557785399753,-0.00306983321555357,4.65757596239368e-05,0.0035091195752356,0.00681636458781756,0.032044375,0.0505897868442961,0.99,dralacbn,financial,Financial,2001Q3
12,-0.00561566516750598,-0.00286433848639798,0.000246920654881903,0.00373962623522488,0.00717587400345722,0.032044375,0.0505897868442961,0.99,dralacbn,financial,Financial,2001Q3
0,-0.000596707417940622,-0.00026834726391877,0.000167652296819807,0.000651730101937559,0.00103298061138709,0.032044375,0.0505897868442961,0.999,dralacbn,financial,Financial,2001Q3
1,-0.00089153947360919,-0.000367401119151643,0.000372930619736155,0.00117749330927912,0.00178739224325019,0.032044375,0.0505897868442961,0.999,dralacbn,financial,Financial,2001Q3
2,-0.00148269441157614,-0.000831167765687177,7.61742490743254e-05,0.00107507420994296,0.00175822186063003,0.032044375,0.0505897868442961,0.999,dralacbn,financial,Financial,2001Q3
3,-0.00215734793526504,-0.00142809276130924,-0.000316221320024264,0.000823912059817632,0.00165726525773557,0.032044375,0.0505897868442961,0.999,dralacbn,financial,Financial,2001Q3
4,-0.00334031995672175,-0.00216738888570502,-0.000403701280759328,0.00144924056998951,0.00281626933319675,0.032044375,0.0505897868442961,0.999,dralacbn,financial,Financial,2001Q3
5,-0.00375334501751226,-0.00206772454538507,0.000306355816710392,0.00295454447045187,0.00491343017621203,0.032044375,0.0505897868442961,0.999,dralacbn,financial,Financial,2001Q3
6,-0.00516566504038735,-0.00311657805495207,-0.000202233323939982,0.00290456075261053,0.00549765669006099,0.032044375,0.0505897868442961,0.999,dralacbn,financial,Financial,2001Q3
7,-0.00632368000833009,-0.00382714247857106,-0.000461842403323205,0.00311272036432652,0.00617715109152861,0.032044375,0.0505897868442961,0.999,dralacbn,financial,Financial,2001Q3
