horizon,lower90,lower68,median,upper68,upper90,p,rho,alpha,application,information_set,info_set_label,shock
0,-0.000197184722557365,-3.87153029629396e-05,0.000179257692364104,0.000404331724546728,0.000570421619621747,0.032044375,0.0505897868442961,0.99,dralacbn,monetary,Monetary,one_sd
1,2.20863132786822e-05,0.000251808995691882,0.000595867932900313,0.000960675269142264,0.00123757829777388,0.032044375,0.0505897868442961,0.99,dralacbn,monetary,Monetary,one_sd
2,-0.000190978546274625,9.35118076784962e-05,0.000528657850422833,0.001008704915046,0.0013794803612322,0.032044375,0.0505897868442961,0.99,dralacbn,monetary,Monetary,one_sd
3,-0.000414130340198804,-3.86659036632036e-05,0.000514071685565061,0.00112100843009703,0.00162464875247958,0.032044375,0.0505897868442961,0.99,dralacbn,monetary,Monetary,one_sd
4,-0.000738837191792002,-0.000289779650645079,0.000345296322861502,0.00101707563458307,0.0015435501518392,0.032044375,0.0505897868442961,0.99,dralacbn,monetary,Monetary,one_sd
5,-0.00131068540028235,-0.00077014217740023,-3.57596279534876e-05,0.000688235184350608,0.00125293000526141,0.032044375,0.0505897868442961,0.99,dralacbn,monetary,Monetary,one_sd
6,-0.00137653706802882,-0.000817711132643105,-8.70131822600616e-05,0.000631623178684338,0.00118764312257001,0.032044375,0.0505897868442961,0.99,dralacbn,monetary,Monetary,one_sd
7,-0.0015504643008487,-0.000958234976973805,-0.000211292283738451,0.000508365259024897,0.00106586789212173,0.032044375,0.0505897868442961,0.99,dralacbn,monetary,Monetary,one_sd
8,-0.00161898858756691,-0.00099889645358359,-0.000244772878265017,0.000452568854756613,0.000998703075376669,0.032044375,0.0505897868442961,0.99,dralacbn,monetary,Monetary,one_sd
9,-0.00165935910022504,-0.000997795544431191,-0.000262461122102663,0.000408029040273531,0.000944370014120842,0.032044375,0.0505897868442961,0.99,dralacbn,monetary,Monetary,one_sd
10,-0.00163454657642102,-0.000954777315302342,-0.000249209304731352,0.000388635606262083,0.000919065236335405,0.032044375,0.0505897868442961,0.99,dralacbn,monetary,Monetary,one_sd
11,-0.00156994915496566,-0.000896868402219089,-0.000225099186306473,0.000377603697574275,0.000889090866037,0.032044375,0.0505897868442961,0.99,dralacbn,monetary,Monetary,one_sd
12,-0.00149467204947959,-0.000830398417991298,-0.000188354643177777,0.000377621777485827,0.00087146903414731,0.032044375,0.0505897868442961,0.99,dralacbn,monetary,Monetary,one_sd
