horizon,lower90,lower68,median,upper68,upper90,p,rho,alpha,application,information_set,info_set_label,shock
0,-3.8125856328443e-05,3.09553386239655e-05,0.000142964183609179,0.000265115950315883,0.000353852406804361,0.032044375,0.0505897868442961,0.99,dralacbn,real_side,Real-side,one_sd
1,0.000137734017745038,0.000245891787266959,0.000413913346866031,0.000594951306845838,0.000720846462248496,0.032044375,0.0505897868442961,0.99,dralacbn,real_side,Real-side,one_sd
2,4.31034040117137e-05,0.000207081657353906,0.000439196710526033,0.000682212751910312,0.000847689735847632,0.032044375,0.0505897868442961,0.99,dralacbn,real_side,Real-side,one_sd
3,-3.19819133677159e-05,0.000186946106219358,0.00049994073295527,0.000820447664463289,0.00102696566816417,0.032044375,0.0505897868442961,0.99,dralacbn,real_side,Real-side,one_sd
4,-0.00022810228881079,5.32936018483285e-05,0.000444748207919732,0.000845589040221694,0.00111560525490874,0.032044375,0.0505897868442961,0.99,dralacbn,real_side,Real-side,one_sd
5,-0.000474909858060991,-0.000130683945155146,0.000356263917205784,0.000842948965385242,0.0011835735651204,0.032044375,0.0505897868442961,0.99,dralacbn,real_side,Real-side,one_sd
6,-0.000587713501442459,-0.000186493962094972,0.000357425990280612,0.000917759539290976,0.00133443296896852,0.032044375,0.0505897868442961,0.99,dralacbn,real_side,Real-side,one_sd
7,-0.000670190657276744,-0.000233894513835062,0.000365012310101552,0.000993531491650484,0.00147441212234073,0.032044375,0.0505897868442961,0.99,dralacbn,real_side,Real-side,one_sd
8,-0.000792777602922647,-0.000310822744667624,0.000344340880118534,0.00104156315185311,0.00158681554389846,0.032044375,0.0505897868442961,0.99,dralacbn,real_side,Real-side,one_sd
9,-0.000915764603750551,-0.000375910129716488,0.000319383597849636,0.00107152305062942,0.00167911438980713,0.032044375,0.0505897868442961,0.99,dralacbn,real_side,Real-side,one_sd
10,-0.00102865404553386,-0.000443783181047703,0.000286503631892664,0.00108954480155588,0.00175695887600415,0.032044375,0.0505897868442961,0.99,dralacbn,real_side,Real-side,one_sd
11,-0.00113873727517889,-0.000511582808399462,0.00025961158346368,0.00110121814562158,0.00182678764210905,0.032044375,0.0505897868442961,0.99,dralacbn,real_side,Real-side,one_sd
12,-0.00124209899546075,-0.000559601370139244,0.000231968054777456,0.00111254327899372,0.00187134731851015,0.032044375,0.0505897868442961,0.99,dralacbn,real_side,Real-side,one_sd
0,-4.33146349764987e-05,3.50865838706738e-05,0.000159920555025226,0.000293449834940896,0.000388397347917135,0.032044375,0.0505897868442961,0.999,dralacbn,real_side,Real-side,one_sd
1,0.000155020888676237,0.000273641053051942,0.000453415820673155,0.000640423912045879,0.000768272487946669,0.032044375,0.0505897868442961,0.999,dralacbn,real_side,Real-side,one_sd
2,4.98004663468839e-05,0.000236303181757421,0.000488570457162866,0.000742505321568629,0.000909132193023244,0.032044375,0.0505897868442961,0.999,dralacbn,real_side,Real-side,one_sd
3,-3.77297481531563e-05,0.00021626626399148,0.000562482710056952,0.000900168064305932,0.00110741670516953,0.032044375,0.0505897868442961,0.999,dralacbn,real_side,Real-side,one_sd
4,-0.000273943923941951,6.32366939556514e-05,0.000512483184786854,0.000950378808458791,0.00123180609438031,0.032044375,0.0505897868442961,0.999,dralacbn,real_side,Real-side,one_sd
5,-0.000584100190580136,-0.000158219112863018,0.000418235260339607,0.000964028695932939,0.00132911007517125,0.032044375,0.0505897868442961,0.999,dralacbn,real_side,Real-side,one_sd
6,-0.000727654729830864,-0.000226678635945132,0.000425302684677328,0.00106072086035575,0.0015143454703216,0.032044375,0.0505897868442961,0.999,dralacbn,real_side,Real-side,one_sd
7,-0.000843871890957139,-0.000290196942565596,0.00043821895797724,0.00116030982088469,0.00169129665903004,0.032044375,0.0505897868442961,0.999,dralacbn,real_side,Real-side,one_sd
