horizon,lower90,lower68,median,upper68,upper90,p,rho,alpha,application,information_set,info_set_label,shock
0,-5.43029842784122e-05,0,9.3629917840966e-05,0.000227240438872338,0.000305488995257174,0.032044375,0.0505897868442961,0.99,dralacbn,real_side_lighter,Real-side (lighter),one_sd
1,1.39684825075656e-05,0.000131043316936207,0.000308764322854305,0.00049286202635889,0.000598520277757211,0.032044375,0.0505897868442961,0.99,dralacbn,real_side_lighter,Real-side (lighter),one_sd
2,-3.55792505711714e-05,0.00010794882244206,0.000312484146361459,0.000509981133935354,0.00063815501219004,0.032044375,0.0505897868442961,0.99,dralacbn,real_side_lighter,Real-side (lighter),one_sd
3,-0.000167178001746503,1.55554781508614e-05,0.000269340269517032,0.000516514318295406,0.000674320818944408,0.032044375,0.0505897868442961,0.99,dralacbn,real_side_lighter,Real-side (lighter),one_sd
4,-0.000295132470018543,-5.79206066231373e-05,0.000260869358154782,0.000571683276211273,0.000765380978366618,0.032044375,0.0505897868442961,0.99,dralacbn,real_side_lighter,Real-side (lighter),one_sd
5,-0.000471680464515689,-0.000179376563467566,0.000215324353324687,0.000600872314291129,0.000853425772659955,0.032044375,0.0505897868442961,0.99,dralacbn,real_side_lighter,Real-side (lighter),one_sd
6,-0.000530041966425206,-0.000202935222606672,0.000239780600942281,0.000687906593098354,0.000997656717378567,0.032044375,0.0505897868442961,0.99,dralacbn,real_side_lighter,Real-side (lighter),one_sd
7,-0.000607222664839419,-0.000234743041818398,0.000257255399815939,0.000767564814561607,0.00112942141093405,0.032044375,0.0505897868442961,0.99,dralacbn,real_side_lighter,Real-side (lighter),one_sd
8,-0.000672905727013136,-0.000267022393492549,0.000272345057284885,0.000834891047987657,0.00124879688382003,0.032044375,0.0505897868442961,0.99,dralacbn,real_side_lighter,Real-side (lighter),one_sd
9,-0.000727172481656334,-0.000292726304527392,0.000278472440621194,0.000885386079295049,0.00135120380302098,0.032044375,0.0505897868442961,0.99,dralacbn,real_side_lighter,Real-side (lighter),one_sd
10,-0.000782180213731562,-0.000315910692161792,0.000285390636660419,0.000933499760614508,0.00144744214485418,0.032044375,0.0505897868442961,0.99,dralacbn,real_side_lighter,Real-side (lighter),one_sd
11,-0.000827553778476261,-0.000345510331534189,0.000286687836974721,0.000970631063360998,0.00152292154811978,0.032044375,0.0505897868442961,0.99,dralacbn,real_side_lighter,Real-side (lighter),one_sd
12,-0.000877991173789373,-0.000365047290055213,0.000287226423904234,0.00100120337207615,0.00159226087675862,0.032044375,0.0505897868442961,0.99,dralacbn,real_side_lighter,Real-side (lighter),one_sd
0,-6.29130505983698e-05,0,0.000106459849182318,0.000256326809095003,0.000342026708783313,0.032044375,0.0505897868442961,0.999,dralacbn,real_side_lighter,Real-side (lighter),one_sd
1,1.62726367633535e-05,0.000149739356062375,0.000347458004188233,0.000544780901030137,0.000654770392896627,0.032044375,0.0505897868442961,0.999,dralacbn,real_side_lighter,Real-side (lighter),one_sd
2,-4.164973943852e-05,0.000124502812573921,0.000355067357921511,0.000568902246359529,0.000702218815045323,0.032044375,0.0505897868442961,0.999,dralacbn,real_side_lighter,Real-side (lighter),one_sd
3,-0.000198846474282042,1.81621355673192e-05,0.000310410366982717,0.000583732074611033,0.000753958392561486,0.032044375,0.0505897868442961,0.999,dralacbn,real_side_lighter,Real-side (lighter),one_sd
4,-0.000356007887994215,-6.87578421187365e-05,0.00030485455373166,0.000653189413282503,0.00086498120562736,0.032044375,0.0505897868442961,0.999,dralacbn,real_side_lighter,Real-side (lighter),one_sd
5,-0.000580084831316383,-0.000218173161685235,0.000255419552824871,0.000696473992553068,0.000970703702558135,0.032044375,0.0505897868442961,0.999,dralacbn,real_side_lighter,Real-side (lighter),one_sd
6,-0.00066129663936985,-0.000247121611869581,0.000287245319681143,0.000803502524757327,0.00114123472830963,0.032044375,0.0505897868442961,0.999,dralacbn,real_side_lighter,Real-side (lighter),one_sd
7,-0.000763367226534038,-0.000287922771417007,0.000309783767654741,0.00090061445670312,0.00130717081415363,0.032044375,0.0505897868442961,0.999,dralacbn,real_side_lighter,Real-side (lighter),one_sd
8,-0.000851381406478118,-0.000329909839651394,0.000328886252531389,0.000986500736918211,0.00145656500362015,0.032044375,0.0505897868442961,0.999,dralacbn,real_side_lighter,Real-side (lighter),one_sd
9,-0.000928500058681315,-0.000365259885619094,0.00033961430812144,0.001057593251637,0.00158523426102217,0.032044375,0.0505897868442961,0.999,dralacbn,real_side_lighter,Real-side (lighter),one_sd
10,-0.00100473969524033,-0.000399231436523476,0.000349630319916899,0.00111492840663264,0.00170531938363892,0.032044375,0.0505897868442961,0.999,dralacbn,real_side_lighter,Real-side (lighter),one_sd
11,-0.00107396178732575,-0.000437102765797975,0.000353230911706182,0.00116704412373961,0.00181163506922591,0.032044375,0.0505897868442961,0.999,dralacbn,real_side_lighter,Real-side (lighter),one_sd
12,-0.00113861879557442,-0.000463968248446909,0.000355687551667618,0.00121263974717111,0.00190380437973787,0.032044375,0.0505897868442961,0.999,dralacbn,real_side_lighter,Real-side (lighter),one_sd
0,-0.000236454442685273,0,0.00042458035420004,0.00106950110619361,0.00147391753302427,0.032044375,0.0505897868442961,0.99,dralacbn,real_side_lighter,Real-side (lighter),2001Q3
1,6.1902116263321e-05,0.000599168347869428,0.0014869513185044,0.00250852950071347,0.00316053319012658,0.032044375,0.0505897868442961,0.99,dralacbn,real_side_lighter,Real-side (lighter),2001Q3
2,-0.000155961309777125,0.000488076168989729,0.00149327441543416,0.0025758163630703,0.0033463699103514,0.032044375,0.0505897868442961,0.99,dralacbn,real_side_lighter,Real-side (lighter),2001Q3
