horizon,lower90,lower68,median,upper68,upper90,p,rho,alpha,application,information_set,info_set_label,shock
0,-9.11509279833704e-05,-1.84350576916264e-06,0.000108745353874267,0.000264434773588187,0.000387358498989004,0.032044375,0.0505897868442961,0.99,dralacbn,uncertainty,Uncertainty,one_sd
1,-0.000168934325260327,-4.28039207183523e-06,0.000222368813262451,0.000449996132621541,0.000612926978341145,0.032044375,0.0505897868442961,0.99,dralacbn,uncertainty,Uncertainty,one_sd
2,-0.000342974218271493,-0.000124611256283174,0.000164469198893914,0.000450888120654507,0.000657998072824798,0.032044375,0.0505897868442961,0.99,dralacbn,uncertainty,Uncertainty,one_sd
3,-0.000585042001699949,-0.000288488888473541,0.000103050581188702,0.00047806312120535,0.000744101197777144,0.032044375,0.0505897868442961,0.99,dralacbn,uncertainty,Uncertainty,one_sd
4,-0.00089595534515395,-0.000536445876962812,-2.98053684243422e-05,0.000435275211530265,0.000750862494012566,0.032044375,0.0505897868442961,0.99,dralacbn,uncertainty,Uncertainty,one_sd
5,-0.00117058116610529,-0.000705982930122695,-0.000105789196120693,0.000456692396695715,0.000835210362963368,0.032044375,0.0505897868442961,0.99,dralacbn,uncertainty,Uncertainty,one_sd
6,-0.00129376280647419,-0.00076214801907489,-9.73534375049903e-05,0.000554947133899993,0.00101403307688502,0.032044375,0.0505897868442961,0.99,dralacbn,uncertainty,Uncertainty,one_sd
7,-0.00143229309804523,-0.00084631706823302,-0.000115989882649463,0.000601792240843891,0.00113727028316016,0.032044375,0.0505897868442961,0.99,dralacbn,uncertainty,Uncertainty,one_sd
8,-0.0014706438225844,-0.000852406320445343,-8.01769922260474e-05,0.000682793097539807,0.00125690435303428,0.032044375,0.0505897868442961,0.99,dralacbn,uncertainty,Uncertainty,one_sd
9,-0.00146725160520977,-0.000822908520077884,-3.07986638006519e-05,0.00074748936332232,0.00136729320527996,0.032044375,0.0505897868442961,0.99,dralacbn,uncertainty,Uncertainty,one_sd
10,-0.00141511851701316,-0.000769978701991656,2.57732038431227e-05,0.000817440155654681,0.00148034119479366,0.032044375,0.0505897868442961,0.99,dralacbn,uncertainty,Uncertainty,one_sd
11,-0.00135576176349505,-0.00070054508437779,7.91237974200748e-05,0.000888945734240853,0.0015964395199907,0.032044375,0.0505897868442961,0.99,dralacbn,uncertainty,Uncertainty,one_sd
12,-0.00130754063838471,-0.000648446651362538,0.000128306694571752,0.000956705406050915,0.0016977640193659,0.032044375,0.0505897868442961,0.99,dralacbn,uncertainty,Uncertainty,one_sd
0,-0.000109205260070144,-2.21255806006737e-06,0.000128780860870793,0.000310868781332225,0.000453030158771263,0.032044375,0.0505897868442961,0.999,dralacbn,uncertainty,Uncertainty,one_sd
1,-0.000207003033631961,-5.18809794229966e-06,0.000264974286277342,0.000528147333775429,0.000709743573857698,0.032044375,0.0505897868442961,0.999,dralacbn,uncertainty,Uncertainty,one_sd
2,-0.000425897746131504,-0.000152560213191214,0.000197408293131897,0.000533034866531149,0.000771246780762149,0.032044375,0.0505897868442961,0.999,dralacbn,uncertainty,Uncertainty,one_sd
3,-0.000739566180285155,-0.000359606939600904,0.000126661346245865,0.000574166055780144,0.000882443942618632,0.032044375,0.0505897868442961,0.999,dralacbn,uncertainty,Uncertainty,one_sd
4,-0.00116554397266777,-0.000689777746681639,-3.72156015289987e-05,0.000535570891071523,0.000909356451076194,0.032044375,0.0505897868442961,0.999,dralacbn,uncertainty,Uncertainty,one_sd
5,-0.0015513124633478,-0.000921269392662001,-0.000134953344038111,0.000569841120399458,0.00102656411342956,0.032044375,0.0505897868442961,0.999,dralacbn,uncertainty,Uncertainty,one_sd
6,-0.00173786609962563,-0.00100497374390311,-0.000124005132857817,0.000699034726455276,0.00125528559564667,0.032044375,0.0505897868442961,0.999,dralacbn,uncertainty,Uncertainty,one_sd
7,-0.00193626841651297,-0.00112133621473636,-0.000149745105042721,0.000762775595274945,0.00142759648651852,0.032044375,0.0505897868442961,0.999,dralacbn,uncertainty,Uncertainty,one_sd
8,-0.00199886922760573,-0.00113496248242179,-0.000102801544524595,0.000867143304445238,0.00158543410576425,0.032044375,0.0505897868442961,0.999,dralacbn,uncertainty,Uncertainty,one_sd
9,-0.00199681662405701,-0.00110116708733674,-4.00781964773542e-05,0.000951063705299669,0.00172287897073461,0.032044375,0.0505897868442961,0.999,dralacbn,uncertainty,Uncertainty,one_sd
